x0000,y0000
0.,0.154603
1.,0.154572
2.,0.154572
3.,0.154572
4.,0.154603
5.,0.154634
6.,0.154572
7.,0.154603
8.,0.154603
9.,0.154603
10.,0.154572
11.,0.154511
12.,0.154572
13.,0.154603
14.,0.154603
15.,0.154603
16.,0.154634
17.,0.154634
18.,0.154664
19.,0.154603
20.,0.154634
21.,0.154634
22.,0.154634
23.,0.154695
24.,0.154786
25.,0.154756
26.,0.154695
27.,0.154389
28.,0.153871
29.,0.153169
30.,0.152375
31.,0.151399
32.,0.150361
33.,0.148866
34.,0.147309
35.,0.145692
36.,0.1438
37.,0.141053
38.,0.137208
39.,0.132051
40.,0.126466
41.,0.119782
42.,0.112305
43.,0.104889
44.,0.0978093
45.,0.0914617
46.,0.0862737
47.,0.0810246
48.,0.0762639
49.,0.0718083
50.,0.0679936
51.,0.0641179
52.,0.0602725
53.,0.0558779
54.,0.0514529
55.,0.0468447
56.,0.0424807
57.,0.0376894
58.,0.033417
59.,0.0287477
60.,0.0243531
61.,0.0199281
62.,0.0148926
63.,0.00970465
64.,0.00476077
65.,0.00164796
66.,0.000122071
67.,-0.00039673
68.,-0.000457766
69.,-0.000335695
70.,-0.000244142
71.,-0.000213624
72.,-0.000152589
73.,-0.000122071
74.,-0.000122071
75.,-0.000122071
76.,-0.0000915532
77.,-0.0000915532
78.,-0.0000915532
79.,-0.0000915532
80.,-0.0000610356
81.,-0.0000610356
82.,-0.0000610356
83.,-0.0000610356
84.,-0.0000610356
85.,-0.0000610356
86.,-0.0000305178
87.,-0.0000305178
88.,-0.0000610356
89.,-0.0000305178
90.,-0.0000305178
91.,-0.0000610356
92.,-0.0000610356
93.,-0.0000305178
94.,-0.0000305178
95.,-0.0000305178
96.,-0.0000305178
97.,0.
98.,0.
99.,-0.0000305178
100.,0.
101.,0.
102.,0.
103.,0.
104.,0.
105.,0.
106.,0.
107.,0.
108.,0.
109.,0.
110.,0.
111.,0.
112.,0.
113.,0.
114.,0.
115.,0.
116.,0.
117.,0.
118.,0.
119.,0.
120.,0.
