x0000,y0000
0.,-0.0000915532
1.,-0.0000915532
2.,-0.000122071
3.,-0.000122071
4.,-0.000152589
5.,-0.000244142
6.,-0.000305178
7.,-0.000305178
8.,0.0000915532
9.,0.0015564
10.,0.00466922
11.,0.00912482
12.,0.0141907
13.,0.0190126
14.,0.0237733
15.,0.0283509
16.,0.0325015
17.,0.0369265
18.,0.0415957
19.,0.0458682
20.,0.0504763
21.,0.0549014
22.,0.0592959
23.,0.0631108
24.,0.0669255
25.,0.0710759
26.,0.0751348
27.,0.0793767
28.,0.0840764
29.,0.0893559
30.,0.0950627
31.,0.101929
32.,0.109467
33.,0.116395
34.,0.123566
35.,0.130128
36.,0.135285
37.,0.13968
38.,0.143006
39.,0.145509
40.,0.147035
41.,0.14795
42.,0.148561
43.,0.148652
44.,0.14853
45.,0.148255
46.,0.147676
47.,0.146638
48.,0.1456
49.,0.144105
50.,0.141938
51.,0.139222
52.,0.135652
53.,0.130555
54.,0.124329
55.,0.1167
56.,0.106995
57.,0.09726
58.,0.0875249
59.,0.0783086
60.,0.0705876
61.,0.0631413
62.,0.0566714
63.,0.0513918
64.,0.0476992
65.,0.0440981
66.,0.0424807
67.,0.0423281
68.,0.0439761
69.,0.0469363
70.,0.0504458
71.,0.0544436
72.,0.0584414
73.,0.0624087
74.,0.0661016
75.,0.0698552
76.,0.0736699
77.,0.0779424
78.,0.0826726
79.,0.0876775
80.,0.0932622
81.,0.0996099
82.,0.106965
83.,0.114441
84.,0.121521
85.,0.128053
86.,0.133759
87.,0.13852
88.,0.141938
89.,0.144227
90.,0.145936
91.,0.147584
92.,0.149293
93.,0.150636
94.,0.151734
95.,0.152772
96.,0.153535
97.,0.153962
98.,0.15445
99.,0.154695
100.,0.154725
101.,0.154634
102.,0.154572
103.,0.154572
104.,0.154572
105.,0.154634
106.,0.154572
107.,0.154725
108.,0.154939
109.,0.154817
110.,0.154695
111.,0.154298
112.,0.153504
113.,0.15265
114.,0.15146
115.,0.150086
116.,0.148591
117.,0.146882
118.,0.14502
119.,0.142732
120.,0.140473
121.,0.137818
122.,0.134126
123.,0.128907
124.,0.121735
125.,0.114045
126.,0.1055
127.,0.0981755
128.,0.0929875
129.,0.0910344
130.,0.0920415
131.,0.0960698
132.,0.10141
133.,0.108033
134.,0.115052
135.,0.121979
136.,0.128358
137.,0.134004
138.,0.138612
139.,0.141908
140.,0.144349
141.,0.14615
142.,0.147859
143.,0.14914
144.,0.1503
145.,0.151399
146.,0.152375
147.,0.153077
148.,0.153749
149.,0.154206
150.,0.154481
151.,0.154572
152.,0.154359
153.,0.15381
154.,0.15326
155.,0.152497
156.,0.151704
157.,0.150666
158.,0.149446
159.,0.147828
160.,0.146211
161.,0.144471
162.,0.142121
163.,0.138917
164.,0.134339
165.,0.12906
166.,0.122651
167.,0.115784
168.,0.108674
169.,0.10199
170.,0.0964971
171.,0.0925298
172.,0.0912175
173.,0.0926213
174.,0.0972295
175.,0.104401
176.,0.112732
177.,0.12085
178.,0.127992
179.,0.133607
180.,0.137422
181.,0.140138
182.,0.142488
183.,0.144715
184.,0.146791
185.,0.148408
186.,0.149903
187.,0.151155
188.,0.152314
189.,0.153321
190.,0.153932
191.,0.15442
192.,0.154634
193.,0.154603
194.,0.154572
195.,0.154359
196.,0.154298
197.,0.154359
198.,0.154359
199.,0.15442
200.,0.15442
201.,0.154542
202.,0.154542
203.,0.154298
204.,0.154054
205.,0.153443
206.,0.152589
207.,0.151795
208.,0.150819
209.,0.149598
210.,0.147981
211.,0.146333
212.,0.144715
213.,0.142579
214.,0.139466
215.,0.135041
216.,0.129579
217.,0.123353
218.,0.116089
219.,0.108674
220.,0.101136
221.,0.094666
222.,0.0889287
223.,0.0838933
224.,0.0789495
225.,0.0745244
226.,0.0706792
227.,0.066895
228.,0.0632634
229.,0.059418
230.,0.0553896
231.,0.0512393
232.,0.0475466
233.,0.0444643
234.,0.0422976
235.,0.0420535
236.,0.0435793
237.,0.0466921
238.,0.0505373
239.,0.0555727
240.,0.0617678
241.,0.0689702
242.,0.0765691
243.,0.0855107
244.,0.0950933
245.,0.104859
246.,0.114899
247.,0.122742
248.,0.129151
249.,0.134706
250.,0.138673
251.,0.141572
252.,0.143708
253.,0.145326
254.,0.146516
255.,0.147645
256.,0.148225
257.,0.148561
258.,0.148774
259.,0.148744
260.,0.148255
261.,0.147248
262.,0.145844
263.,0.143739
264.,0.140595
265.,0.136415
266.,0.131471
267.,0.125184
268.,0.118256
269.,0.111268
270.,0.103882
271.,0.0967107
272.,0.0908818
273.,0.0854192
274.,0.0804753
275.,0.0762639
276.,0.0721135
277.,0.0679936
278.,0.0641789
279.,0.060364
280.,0.0560915
281.,0.051697
282.,0.0469058
283.,0.0424807
284.,0.0380251
285.,0.0335085
286.,0.0293885
287.,0.024933
288.,0.0202333
289.,0.0155945
290.,0.0104371
291.,0.00564578
292.,0.00210573
293.,0.000335695
294.,-0.00027466
295.,-0.000335695
296.,-0.000244142
297.,-0.000183106
298.,-0.000122071
299.,-0.000122071
300.,-0.0000915532
301.,-0.0000915532
