x0000,y0000
0.,0.152345
1.,0.153138
2.,0.15384
3.,0.154237
4.,0.154634
5.,0.154817
6.,0.154817
7.,0.154664
8.,0.154542
9.,0.154542
10.,0.154572
11.,0.154511
12.,0.154542
13.,0.154603
14.,0.154756
15.,0.154756
16.,0.154572
17.,0.154206
18.,0.153413
19.,0.152497
20.,0.151277
21.,0.149903
22.,0.148316
23.,0.146699
24.,0.144807
25.,0.142457
26.,0.140199
27.,0.137391
28.,0.133332
29.,0.127961
30.,0.120636
31.,0.112519
32.,0.103943
33.,0.0966496
34.,0.0925603
35.,0.0914617
36.,0.0929265
37.,0.0970769
38.,0.102875
39.,0.109253
40.,0.116517
41.,0.123322
42.,0.129731
43.,0.134919
44.,0.139161
45.,0.142488
46.,0.144746
47.,0.146424
48.,0.14795
49.,0.149507
50.,0.150666
51.,0.151734
52.,0.152619
53.,0.153382
54.,0.153962
55.,0.154298
56.,0.154695
57.,0.154725
58.,0.154664
59.,0.154511
60.,0.15445
61.,0.154511
62.,0.15445
63.,0.154511
64.,0.154511
65.,0.154603
66.,0.15445
67.,0.154542
68.,0.154603
69.,0.154603
70.,0.154572
71.,0.154572
72.,0.154603
73.,0.154481
74.,0.154603
75.,0.154603
76.,0.154634
77.,0.154695
78.,0.154511
79.,0.154572
80.,0.154603
81.,0.154695
82.,0.154634
83.,0.154542
84.,0.154634
85.,0.154572
86.,0.154634
87.,0.154634
88.,0.154603
89.,0.154634
90.,0.154603
91.,0.154634
92.,0.154634
93.,0.154542
94.,0.154725
95.,0.154878
96.,0.155
97.,0.154908
98.,0.154542
99.,0.153901
100.,0.152955
101.,0.151765
102.,0.150636
103.,0.14911
104.,0.147584
105.,0.145692
106.,0.143617
107.,0.141236
108.,0.138398
109.,0.134522
110.,0.129243
111.,0.122406
112.,0.113465
113.,0.103943
114.,0.0944219
115.,0.0848699
116.,0.076447
117.,0.0682378
118.,0.0613711
119.,0.0554812
120.,0.0501101
121.,0.0453799
122.,0.0404055
123.,0.0357974
124.,0.0313113
125.,0.0268861
126.,0.0223085
127.,0.0167238
128.,0.0118714
129.,0.00781256
130.,0.00488284
131.,0.00320436
132.,0.00234987
133.,0.00170899
134.,0.0013733
135.,0.00115968
136.,0.00103761
137.,0.000823978
138.,0.000701908
139.,0.000610355
140.,0.00054932
141.,0.000427248
142.,0.00039673
143.,0.000305178
144.,0.000305178
145.,0.000305178
146.,0.000305178
147.,0.000366213
148.,0.00039673
149.,0.000427248
150.,0.000488285
151.,0.00054932
152.,0.000610355
153.,0.000732426
154.,0.000946049
155.,0.00112916
156.,0.00140382
157.,0.00170899
158.,0.00195314
159.,0.00228883
160.,0.00256349
161.,0.00289918
162.,0.00375368
163.,0.00457767
164.,0.00518802
165.,0.00601199
166.,0.00653079
167.,0.00732425
168.,0.00802618
169.,0.00784308
170.,0.00808722
171.,0.00784308
172.,0.0080567
173.,0.00814825
174.,0.00793463
175.,0.00711063
176.,0.00656131
177.,0.00543216
178.,0.00479129
179.,0.00408939
180.,0.00350954
