,X,Y,Z(intensidade)
0,0,0,0.000106812
1,1,0,0.000106812
2,2,0,0.000122071
3,3,0,0.00013733
4,4,0,0.000144959
5,5,0,0.000152589
6,6,0,0.000183106
7,7,0,0.000221253
8,8,0,0.000259401
9,9,0,0.000312807
10,10,0,0.000335695
11,11,0,0.000358583
12,12,0,0.000366213
13,13,0,0.000366213
14,14,0,0.000381472
15,15,0,0.00039673
16,16,0,0.00040436
17,17,0,0.000389101
18,18,0,0.000419619
19,19,0,0.000419619
20,20,0,0.000434877
21,21,0,0.000419619
22,22,0,0.000427248
23,23,0,0.000419619
24,24,0,0.000427248
25,24,-1,0.000450136
26,23,-1,0.000450136
27,22,-1,0.000434877
28,21,-1,0.000450136
29,20,-1,0.000419619
30,19,-1,0.000457766
31,18,-1,0.000419619
32,17,-1,0.000442507
33,16,-1,0.00039673
34,15,-1,0.000411989
35,14,-1,0.00040436
36,13,-1,0.00040436
37,12,-1,0.00039673
38,11,-1,0.000381472
39,10,-1,0.000366213
40,9,-1,0.000358583
41,8,-1,0.000328066
42,7,-1,0.000289919
43,6,-1,0.000244142
44,5,-1,0.000198365
45,4,-1,0.000167848
46,3,-1,0.000152589
47,2,-1,0.000152589
48,1,-1,0.00013733
49,0,-1,0.000106812
50,0,-2,0.000129701
51,1,-2,0.000129701
52,2,-2,0.000152589
53,3,-2,0.000160218
54,4,-2,0.000144959
55,5,-2,0.000183106
56,6,-2,0.000221253
57,7,-2,0.000289919
58,8,-2,0.000335695
59,9,-2,0.000381472
60,10,-2,0.00040436
61,11,-2,0.000419619
62,12,-2,0.000434877
63,13,-2,0.000450136
64,14,-2,0.000465395
65,15,-2,0.000473024
66,16,-2,0.000488285
67,17,-2,0.000473024
68,18,-2,0.000503544
69,19,-2,0.000503544
70,20,-2,0.000518803
71,21,-2,0.000503544
72,22,-2,0.000503544
73,23,-2,0.000503544
74,24,-2,0.000503544
75,24,-3,0.000495914
76,23,-3,0.000495914
77,22,-3,0.000503544
78,21,-3,0.000526432
79,20,-3,0.000526432
80,19,-3,0.000541691
81,18,-3,0.000541691
82,17,-3,0.00054932
83,16,-3,0.000526432
84,15,-3,0.000534061
85,14,-3,0.000534061
86,13,-3,0.000534061
87,12,-3,0.000534061
