,X,Y,Z(intensidade)
0,0,0,-1.54615e-11
1,1,0,-1.70531e-11
2,2,0,-1.72805e-11
3,3,0,-1.68258e-11
4,4,0,-2.50112e-11
5,5,0,-4.66118e-11
6,6,0,-3.18325e-12
7,7,0,-2.31922e-11
8,8,0,-4.13822e-11
9,9,0,-7.73076e-12
10,10,0,-1.25056e-11
11,11,0,-2.77397e-11
12,12,0,-3.75169e-11
13,13,0,-3.95632e-11
14,14,0,-4.32012e-11
15,15,0,-4.57023e-11
16,16,0,-4.43381e-11
17,17,0,-4.22917e-11
18,18,0,-4.32012e-11
19,19,0,-4.63845e-11
20,20,0,-4.45655e-11
21,21,0,-4.32012e-11
22,22,0,-4.38833e-11
23,23,0,-4.38833e-11
24,24,0,-4.32012e-11
25,25,0,-4.27465e-11
26,26,0,-4.1837e-11
27,27,0,-3.91085e-11
28,28,0,-3.75169e-11
29,29,0,-3.50158e-11
30,29,-1,-3.34242e-11
31,28,-1,-3.31968e-11
32,27,-1,-3.29694e-11
33,26,-1,-3.34242e-11
34,25,-1,-3.61526e-11
35,24,-1,-3.86537e-11
36,23,-1,-4.0018e-11
37,22,-1,-4.22917e-11
38,21,-1,-4.34286e-11
39,20,-1,-4.3656e-11
40,19,-1,-4.38833e-11
41,18,-1,-4.43381e-11
42,17,-1,-4.43381e-11
43,16,-1,-4.59297e-11
44,15,-1,-4.47928e-11
45,14,-1,-4.27465e-11
46,13,-1,-4.32012e-11
47,12,-1,-4.38833e-11
48,11,-1,-4.43381e-11
49,10,-1,-4.22917e-11
50,9,-1,-3.97906e-11
51,8,-1,-2.95588e-11
52,7,-1,1.20509e-11
53,6,-1,6.43472e-11
54,5,-1,1.24374e-10
55,4,-1,7.98086e-11
56,3,-1,7.73075e-11
57,2,-1,1.5075e-10
58,1,-1,9.82259e-11
59,0,-1,6.04818e-11
60,0,-2,1.47794e-10
61,1,-2,2.75579e-10
62,2,-2,2.76488e-10
63,3,-2,2.76716e-10
64,4,-2,3.31513e-10
65,5,-2,4.20188e-10
66,6,-2,2.98316e-10
67,7,-2,3.05592e-10
68,8,-2,3.43109e-10
69,9,-2,2.00317e-10
70,10,-2,8.43561e-11
71,11,-2,8.41288e-12
72,12,-2,-3.38789e-11
73,13,-2,-3.8199e-11
74,14,-2,-4.27465e-11
75,15,-2,-4.3656e-11
76,16,-2,-4.32012e-11
77,17,-2,-4.3656e-11
78,18,-2,-4.38833e-11
79,19,-2,-4.43381e-11
80,20,-2,-4.27465e-11
81,21,-2,-4.34286e-11
82,22,-2,-4.43381e-11
83,23,-2,-4.38833e-11
84,24,-2,-4.38833e-11
85,25,-2,-4.27465e-11
86,26,-2,-4.22917e-11
87,27,-2,-3.95632e-11
88,28,-2,-3.70621e-11
89,29,-2,-3.43336e-11
90,29,-3,-3.31968e-11
91,28,-3,-3.2742e-11
92,27,-3,-3.36515e-11
93,26,-3,-3.25147e-11
94,25,-3,-3.4561e-11
95,24,-3,-3.8199e-11
96,23,-3,-3.97906e-11
97,22,-3,-4.1837e-11
98,21,-3,-4.27465e-11
99,20,-3,-4.27465e-11
100,19,-3,-4.32012e-11
101,18,-3,-4.32012e-11
102,17,-3,-4.32012e-11
103,16,-3,-4.32012e-11
104,15,-3,-4.32012e-11
105,14,-3,-4.41107e-11
106,13,-3,-4.43381e-11
107,12,-3,-4.34286e-11
108,11,-3,-4.34286e-11
109,10,-3,-4.07001e-11
110,9,-3,-3.61526e-11
111,8,-3,-2.29649e-11
112,7,-3,3.91085e-11
113,6,-3,1.06411e-10
114,5,-3,2.89448e-10
115,4,-3,4.92268e-10
116,3,-3,4.89994e-10
117,2,-3,4.79762e-10
118,1,-3,6.42107e-10
119,0,-3,5.94586e-10
120,0,-4,6.61206e-10
121,1,-4,7.49655e-10
122,2,-4,7.51019e-10
123,3,-4,7.51019e-10
124,4,-4,8.17412e-10
125,5,-4,7.21005e-10
126,6,-4,5.52749e-10
127,7,-4,6.03908e-10
128,8,-4,5.58433e-10
129,9,-4,2.68985e-10
