,X,Y,Z(intensidade)
0,0,0,0.000144959
1,1,0,0.000144959
2,2,0,0.000144959
3,3,0,0.000152589
4,4,0,0.000160218
5,5,0,0.000175477
6,6,0,0.000183106
7,7,0,0.000213624
8,8,0,0.000251772
9,9,0,0.000282289
10,10,0,0.000305178
11,11,0,0.000328066
12,12,0,0.000350954
13,13,0,0.000366213
14,14,0,0.000381472
15,15,0,0.000381472
16,16,0,0.000389101
17,17,0,0.00039673
18,18,0,0.000411989
19,19,0,0.000419619
20,20,0,0.000419619
21,21,0,0.000427248
22,22,0,0.000427248
23,23,0,0.000419619
24,24,0,0.000419619
25,25,0,0.000419619
26,26,0,0.000427248
27,27,0,0.000419619
28,28,0,0.000419619
29,29,0,0.000419619
30,30,0,0.000450136
31,31,0,0.000473024
32,32,0,0.000473024
33,33,0,0.000473024
34,34,0,0.000480654
35,35,0,0.000473024
36,36,0,0.000465395
37,37,0,0.000457766
38,38,0,0.000442507
39,39,0,0.000442507
40,40,0,0.000442507
41,41,0,0.000442507
42,42,0,0.000450136
43,43,0,0.000457766
44,44,0,0.000465395
45,45,0,0.000473024
46,46,0,0.000473024
47,47,0,0.000473024
48,48,0,0.000480654
49,49,0,0.000473024
50,49,-1,0.000473024
51,48,-1,0.000473024
52,47,-1,0.000473024
53,46,-1,0.000473024
54,45,-1,0.000473024
55,44,-1,0.000473024
56,43,-1,0.000473024
57,42,-1,0.000465395
58,41,-1,0.000457766
59,40,-1,0.000457766
60,39,-1,0.000457766
61,38,-1,0.000457766
62,37,-1,0.000465395
63,36,-1,0.000465395
64,35,-1,0.000473024
65,34,-1,0.000473024
66,33,-1,0.000473024
67,32,-1,0.000480654
68,31,-1,0.000473024
69,30,-1,0.000473024
70,29,-1,0.000473024
71,28,-1,0.000473024
72,27,-1,0.000473024
73,26,-1,0.000457766
74,25,-1,0.000457766
75,24,-1,0.000457766
76,23,-1,0.000450136
77,22,-1,0.000442507
78,21,-1,0.000442507
79,20,-1,0.000450136
80,19,-1,0.000442507
81,18,-1,0.000419619
82,17,-1,0.000419619
83,16,-1,0.000419619
84,15,-1,0.000419619
85,14,-1,0.000381472
86,13,-1,0.000373842
87,12,-1,0.000381472
88,11,-1,0.000381472
89,10,-1,0.000373842
90,9,-1,0.000358583
91,8,-1,0.000343325
92,7,-1,0.000335695
93,6,-1,0.000312807
94,5,-1,0.00027466
95,4,-1,0.000236512
96,3,-1,0.000205995
97,2,-1,0.000160218
98,1,-1,0.000122071
99,0,-1,9.91826e-05
100,0,-2,0.000106812
