,X,Y,Z(intensidade)
0,0,0,5.45473e-10
1,1,0,4.24281e-10
2,2,0,3.71303e-10
3,3,0,3.62435e-10
4,4,0,3.5948e-10
5,5,0,3.54477e-10
6,6,0,3.9927e-10
7,7,0,4.31784e-10
8,8,0,4.96815e-10
9,9,0,6.64389e-10
10,10,0,7.94447e-10
11,11,0,9.17229e-10
12,12,0,9.95449e-10
13,13,0,1.03274e-09
14,14,0,1.03729e-09
15,15,0,1.00386e-09
16,16,0,1.09186e-09
17,17,0,1.17485e-09
18,18,0,1.22964e-09
19,19,0,1.28762e-09
20,20,0,1.26489e-09
21,21,0,1.30263e-09
22,22,0,1.28126e-09
23,23,0,1.23897e-09
24,24,0,1.27876e-09
25,25,0,1.31809e-09
26,26,0,1.39654e-09
27,27,0,1.47703e-09
28,28,0,1.48794e-09
29,29,0,1.51636e-09
30,30,0,1.52318e-09
31,31,0,1.5084e-09
32,32,0,1.4934e-09
33,33,0,1.49203e-09
34,34,0,1.51341e-09
35,35,0,1.53569e-09
36,36,0,1.53205e-09
37,37,0,1.54092e-09
38,38,0,1.56775e-09
39,39,0,1.55274e-09
40,40,0,1.51545e-09
41,41,0,1.56093e-09
42,42,0,1.53387e-09
43,43,0,1.53819e-09
44,44,0,1.54115e-09
45,45,0,1.51659e-09
46,46,0,1.52091e-09
47,47,0,1.52477e-09
48,48,0,1.51864e-09
49,49,0,1.50659e-09
50,50,0,1.49385e-09
51,51,0,1.50749e-09
52,52,0,1.52227e-09
53,53,0,1.51636e-09
54,54,0,1.51272e-09
55,55,0,1.51932e-09
56,56,0,1.52e-09
57,57,0,1.51136e-09
58,58,0,1.51159e-09
59,59,0,1.49408e-09
60,60,0,1.48635e-09
61,61,0,1.47998e-09
62,62,0,1.47725e-09
63,63,0,1.47839e-09
64,64,0,1.48612e-09
65,64,-1,1.34174e-09
66,63,-1,1.34037e-09
67,62,-1,1.33537e-09
68,61,-1,1.33856e-09
69,60,-1,1.33878e-09
70,59,-1,1.3381e-09
71,58,-1,1.29558e-09
72,57,-1,1.27944e-09
73,56,-1,1.23715e-09
74,55,-1,1.20759e-09
75,54,-1,1.24124e-09
76,53,-1,1.24124e-09
77,52,-1,1.24829e-09
78,51,-1,1.23806e-09
79,50,-1,1.22487e-09
80,49,-1,1.22078e-09
81,48,-1,1.24829e-09
82,47,-1,1.24056e-09
83,46,-1,1.26239e-09
84,45,-1,1.25875e-09
85,44,-1,1.26057e-09
86,43,-1,1.26352e-09
87,42,-1,1.26216e-09
88,41,-1,1.28467e-09
89,40,-1,1.28012e-09
90,39,-1,1.28535e-09
91,38,-1,1.28694e-09
92,37,-1,1.28399e-09
93,36,-1,1.27466e-09
94,35,-1,1.31673e-09
95,34,-1,1.32605e-09
96,33,-1,1.33424e-09
97,32,-1,1.33128e-09
98,31,-1,1.33037e-09
99,30,-1,1.33355e-09
100,29,-1,1.3331e-09
101,28,-1,1.32696e-09
102,27,-1,1.33378e-09
103,26,-1,1.33151e-09
104,25,-1,1.33378e-09
105,24,-1,1.33083e-09
106,23,-1,1.33196e-09
107,22,-1,1.32855e-09
108,21,-1,1.3306e-09
109,20,-1,1.33105e-09
110,19,-1,1.32651e-09
111,18,-1,1.33151e-09
112,17,-1,1.33083e-09
113,16,-1,1.33037e-09
114,15,-1,1.32287e-09
115,14,-1,1.33264e-09
116,13,-1,1.33128e-09
117,12,-1,1.324e-09
118,11,-1,1.33378e-09
119,10,-1,1.3281e-09
120,9,-1,1.33128e-09
121,8,-1,1.32855e-09
122,7,-1,1.33151e-09
123,6,-1,1.32855e-09
124,5,-1,1.3281e-09
125,4,-1,1.32241e-09
126,3,-1,1.33173e-09
127,2,-1,1.32855e-09
128,1,-1,1.32719e-09
129,0,-1,1.32537e-09
130,0,-2,1.16962e-09
131,1,-2,1.10573e-09
132,2,-2,1.10072e-09
133,3,-2,1.10118e-09
134,4,-2,1.10186e-09
135,5,-2,1.10231e-09
136,6,-2,1.10095e-09
137,7,-2,1.10322e-09
138,8,-2,1.14461e-09
139,9,-2,1.15757e-09
140,10,-2,1.12482e-09
141,11,-2,1.12437e-09
142,12,-2,1.13574e-09
143,13,-2,1.0989e-09
144,14,-2,1.08731e-09
145,15,-2,1.07821e-09
146,16,-2,1.09254e-09
147,17,-2,1.09299e-09
148,18,-2,1.06616e-09
149,19,-2,1.06866e-09
150,20,-2,1.07708e-09
151,21,-2,1.09822e-09
152,22,-2,1.0864e-09
153,23,-2,1.09527e-09
154,24,-2,1.05729e-09
155,25,-2,1.04479e-09
156,26,-2,1.04615e-09
157,27,-2,1.05707e-09
158,28,-2,1.06525e-09
159,29,-2,1.08026e-09
160,30,-2,1.06684e-09
161,31,-2,1.06844e-09
162,32,-2,1.07821e-09
163,33,-2,1.10141e-09
164,34,-2,1.11573e-09
165,35,-2,1.12141e-09
166,36,-2,1.10527e-09
167,37,-2,1.12687e-09
168,38,-2,1.08458e-09
169,39,-2,1.08708e-09
170,40,-2,1.09777e-09
171,41,-2,1.10709e-09
172,42,-2,1.11732e-09
173,43,-2,1.11277e-09
174,44,-2,1.08253e-09
175,45,-2,1.08344e-09
176,46,-2,1.05775e-09
177,47,-2,1.00682e-09
178,48,-2,1.00955e-09
179,49,-2,9.71575e-10
180,50,-2,9.26779e-10
181,51,-2,8.72436e-10
182,52,-2,8.00586e-10
183,53,-2,7.03498e-10
184,54,-2,5.92085e-10
185,55,-2,4.40425e-10
186,56,-2,2.63528e-10
187,57,-2,1.44611e-10
188,58,-2,6.09366e-11
189,59,-2,3.41063e-11
190,60,-2,2.88766e-11
191,61,-2,1.79626e-11
192,62,-2,9.32238e-12
193,63,-2,6.59386e-12
194,64,-2,5.22962e-12
195,64,-3,5.22962e-12
196,63,-3,5.457e-12
