,X,Y,Z(intensidade)
0,0,0,0.000114441
1,1,0,0.000106812
2,2,0,0.000106812
3,3,0,0.000106812
4,4,0,0.000114441
5,5,0,0.000114441
6,6,0,0.000114441
7,7,0,0.000114441
8,8,0,0.000122071
9,9,0,0.000129701
10,10,0,0.000129701
11,11,0,0.00013733
12,12,0,0.000144959
13,13,0,0.000144959
14,14,0,0.000144959
15,15,0,0.000129701
16,16,0,0.000122071
17,17,0,0.000122071
18,18,0,0.000129701
19,19,0,0.00013733
20,20,0,0.000144959
21,21,0,0.000152589
22,22,0,0.000152589
23,23,0,0.000167848
24,24,0,0.000175477
25,25,0,0.000190736
26,26,0,0.000205995
27,27,0,0.000205995
28,28,0,0.000221253
29,29,0,0.000236512
30,30,0,0.000244142
31,31,0,0.000259401
32,32,0,0.000267031
33,33,0,0.00027466
34,34,0,0.000289919
35,35,0,0.000305178
36,36,0,0.000312807
37,37,0,0.000320436
38,38,0,0.000328066
39,39,0,0.000335695
40,40,0,0.000343325
41,41,0,0.000343325
42,42,0,0.000350954
43,43,0,0.000358583
44,44,0,0.000366213
45,45,0,0.000366213
46,46,0,0.000366213
47,47,0,0.000366213
48,48,0,0.000373842
49,49,0,0.000373842
50,50,0,0.000381472
51,51,0,0.000381472
52,52,0,0.000389101
53,53,0,0.000389101
54,54,0,0.00039673
55,55,0,0.00040436
56,56,0,0.00040436
57,57,0,0.000411989
58,58,0,0.000411989
59,59,0,0.000411989
60,60,0,0.000419619
61,61,0,0.000419619
62,62,0,0.000419619
63,63,0,0.000419619
64,64,0,0.000427248
65,65,0,0.000427248
66,66,0,0.000419619
67,67,0,0.000419619
68,68,0,0.000419619
69,69,0,0.000419619
70,70,0,0.000419619
71,71,0,0.000434877
72,72,0,0.000442507
73,73,0,0.000442507
74,74,0,0.000450136
75,75,0,0.000450136
76,76,0,0.000450136
77,77,0,0.000450136
78,78,0,0.000450136
79,79,0,0.000457766
80,80,0,0.000465395
81,81,0,0.000465395
82,82,0,0.000465395
83,83,0,0.000465395
84,84,0,0.000465395
85,85,0,0.000457766
86,86,0,0.000450136
87,87,0,0.000450136
88,88,0,0.000457766
89,89,0,0.000465395
90,90,0,0.000457766
91,91,0,0.000457766
92,92,0,0.000457766
93,93,0,0.000457766
94,94,0,0.000457766
95,95,0,0.000457766
96,96,0,0.000450136
97,97,0,0.000457766
98,98,0,0.000473024
99,99,0,0.000473024
100,99,-1,0.000480654
101,98,-1,0.000495914
102,97,-1,0.000503544
103,96,-1,0.000495914
104,95,-1,0.000503544
105,94,-1,0.000495914
106,93,-1,0.000503544
107,92,-1,0.000495914
108,91,-1,0.000495914
109,90,-1,0.000495914
110,89,-1,0.000488285
111,88,-1,0.000480654
112,87,-1,0.000480654
113,86,-1,0.000480654
114,85,-1,0.000488285
115,84,-1,0.000488285
116,83,-1,0.000473024
117,82,-1,0.000480654
118,81,-1,0.000473024
119,80,-1,0.000457766
120,79,-1,0.000457766
121,78,-1,0.000457766
122,77,-1,0.000465395
123,76,-1,0.000480654
124,75,-1,0.000480654
125,74,-1,0.000480654
126,73,-1,0.000473024
127,72,-1,0.000457766
128,71,-1,0.000450136
129,70,-1,0.000450136
130,69,-1,0.000450136
131,68,-1,0.000473024
132,67,-1,0.000473024
133,66,-1,0.000465395
134,65,-1,0.000442507
135,64,-1,0.000419619
136,63,-1,0.000419619
137,62,-1,0.000427248
138,61,-1,0.000419619
139,60,-1,0.000427248
140,59,-1,0.000450136
141,58,-1,0.000442507
142,57,-1,0.000450136
143,56,-1,0.000434877
144,55,-1,0.000427248
145,54,-1,0.000427248
146,53,-1,0.000427248
147,52,-1,0.000427248
148,51,-1,0.000427248
149,50,-1,0.000427248
150,49,-1,0.000427248
151,48,-1,0.000419619
152,47,-1,0.00039673
153,46,-1,0.000381472
154,45,-1,0.000373842
155,44,-1,0.000373842
156,43,-1,0.000366213
157,42,-1,0.000366213
158,41,-1,0.000366213
159,40,-1,0.000366213
160,39,-1,0.000358583
161,38,-1,0.000358583
162,37,-1,0.000350954
163,36,-1,0.000343325
164,35,-1,0.000343325
165,34,-1,0.000335695
166,33,-1,0.000328066
167,32,-1,0.000320436
168,31,-1,0.000312807
169,30,-1,0.000312807
170,29,-1,0.000297548
171,28,-1,0.000282289
172,27,-1,0.00027466
173,26,-1,0.000259401
174,25,-1,0.000259401
175,24,-1,0.000244142
176,23,-1,0.000228883
177,22,-1,0.000221253
178,21,-1,0.000205995
179,20,-1,0.000190736
180,19,-1,0.000183106
181,18,-1,0.000167848
182,17,-1,0.000152589
183,16,-1,0.000152589
184,15,-1,0.00013733
185,14,-1,0.000122071
186,13,-1,9.91826e-05
187,12,-1,8.39238e-05
188,11,-1,8.39238e-05
189,10,-1,9.15532e-05
190,9,-1,0.000106812
191,8,-1,0.000122071
192,7,-1,0.000129701
193,6,-1,0.000129701
194,5,-1,0.000129701
195,4,-1,0.000122071
196,3,-1,0.000122071
197,2,-1,0.000114441
198,1,-1,0.000106812
199,0,-1,9.91826e-05
200,0,-2,9.91826e-05
201,1,-2,9.91826e-05
202,2,-2,9.91826e-05
203,3,-2,9.91826e-05
204,4,-2,9.91826e-05
205,5,-2,9.91826e-05
206,6,-2,9.91826e-05
207,7,-2,9.91826e-05
208,8,-2,0.000106812
209,9,-2,0.000114441
210,10,-2,0.000114441
211,11,-2,0.000122071
212,12,-2,0.000122071
213,13,-2,0.000122071
214,14,-2,0.000122071
215,15,-2,0.000114441
216,16,-2,9.91826e-05
217,17,-2,9.15532e-05
218,18,-2,9.91826e-05
219,19,-2,9.91826e-05
220,20,-2,0.000106812
221,21,-2,0.000122071
222,22,-2,0.00013733
223,23,-2,0.000144959
224,24,-2,0.000152589
225,25,-2,0.000167848
226,26,-2,0.000175477
227,27,-2,0.000190736
228,28,-2,0.000205995
229,29,-2,0.000213624
230,30,-2,0.000221253
231,31,-2,0.000236512
232,32,-2,0.000244142
233,33,-2,0.000259401
234,34,-2,0.000267031
235,35,-2,0.000282289
236,36,-2,0.000289919
237,37,-2,0.000305178
238,38,-2,0.000312807
239,39,-2,0.000312807
240,40,-2,0.000320436
241,41,-2,0.000320436
242,42,-2,0.000328066
243,43,-2,0.000328066
244,44,-2,0.000335695
245,45,-2,0.000343325
246,46,-2,0.000350954
247,47,-2,0.000350954
248,48,-2,0.000358583
249,49,-2,0.000358583
250,50,-2,0.000358583
251,51,-2,0.000366213
252,52,-2,0.000366213
253,53,-2,0.000366213
254,54,-2,0.000373842
255,55,-2,0.000373842
256,56,-2,0.000381472
257,57,-2,0.000381472
258,58,-2,0.000381472
259,59,-2,0.000389101
260,60,-2,0.000389101
261,61,-2,0.00039673
262,62,-2,0.00039673
263,63,-2,0.00040436
264,64,-2,0.000411989
265,65,-2,0.000411989
266,66,-2,0.00040436
267,67,-2,0.00040436
268,68,-2,0.00039673
269,69,-2,0.00039673
270,70,-2,0.00040436
271,71,-2,0.000411989
272,72,-2,0.000419619
273,73,-2,0.000419619
274,74,-2,0.000419619
275,75,-2,0.000419619
276,76,-2,0.000419619
277,77,-2,0.000419619
278,78,-2,0.000427248
279,79,-2,0.000434877
280,80,-2,0.000434877
281,81,-2,0.000442507
282,82,-2,0.000442507
283,83,-2,0.000434877
284,84,-2,0.000434877
285,85,-2,0.000434877
286,86,-2,0.000427248
287,87,-2,0.000427248
288,88,-2,0.000434877
289,89,-2,0.000434877
290,90,-2,0.000427248
291,91,-2,0.000434877
292,92,-2,0.000434877
293,93,-2,0.000434877
294,94,-2,0.000434877
295,95,-2,0.000434877
296,96,-2,0.000427248
297,97,-2,0.000434877
298,98,-2,0.000442507
299,99,-2,0.000442507
300,99,-3,0.000450136
301,98,-3,0.000450136
302,97,-3,0.000450136
303,96,-3,0.000450136
304,95,-3,0.000450136
305,94,-3,0.000450136
306,93,-3,0.000450136
307,92,-3,0.000457766
308,91,-3,0.000450136
309,90,-3,0.000450136
310,89,-3,0.000442507
311,88,-3,0.000427248
312,87,-3,0.000427248
313,86,-3,0.000434877
314,85,-3,0.000442507
315,84,-3,0.000434877
316,83,-3,0.000419619
317,82,-3,0.000434877
318,81,-3,0.000419619
319,80,-3,0.000411989
320,79,-3,0.000411989
321,78,-3,0.000411989
322,77,-3,0.000419619
323,76,-3,0.000434877
324,75,-3,0.000434877
325,74,-3,0.000442507
326,73,-3,0.000427248
327,72,-3,0.000411989
328,71,-3,0.000411989
329,70,-3,0.000411989
330,69,-3,0.000419619
331,68,-3,0.000427248
332,67,-3,0.000419619
333,66,-3,0.000419619
334,65,-3,0.000411989
335,64,-3,0.000389101
336,63,-3,0.000389101
337,62,-3,0.000389101
338,61,-3,0.000381472
339,60,-3,0.00039673
340,59,-3,0.000411989
341,58,-3,0.00040436
342,57,-3,0.00040436
343,56,-3,0.00039673
344,55,-3,0.000389101
345,54,-3,0.000389101
346,53,-3,0.000389101
347,52,-3,0.000381472
348,51,-3,0.000389101
349,50,-3,0.000389101
350,49,-3,0.000389101
351,48,-3,0.000381472
352,47,-3,0.000373842
353,46,-3,0.000366213
354,45,-3,0.000366213
355,44,-3,0.000366213
356,43,-3,0.000366213
357,42,-3,0.000366213
358,41,-3,0.000358583
359,40,-3,0.000358583
360,39,-3,0.000358583
361,38,-3,0.000350954
362,37,-3,0.000343325
363,36,-3,0.000343325
364,35,-3,0.000335695
365,34,-3,0.000328066
366,33,-3,0.000320436
367,32,-3,0.000312807
368,31,-3,0.000312807
369,30,-3,0.000305178
