,X,Y,Z(intensidade)
0,0,0,4.32013e-12
1,1,0,3.63801e-12
2,2,0,4.32013e-12
3,3,0,3.63801e-12
4,4,0,4.32013e-12
5,5,0,5.00225e-12
6,6,0,4.5475e-12
7,7,0,5.457e-12
8,8,0,5.22962e-12
9,9,0,6.36649e-12
10,10,0,5.91174e-12
11,11,0,4.77487e-12
12,12,0,4.5475e-12
13,13,0,4.09275e-12
14,14,0,4.32013e-12
15,15,0,4.77487e-12
16,16,0,3.41062e-12
17,17,0,2.7285e-12
18,18,0,2.27375e-12
19,19,0,2.50112e-12
20,20,0,1.13688e-12
21,21,0,1.36425e-12
22,22,0,2.95587e-12
23,23,0,2.27375e-12
24,24,0,1.13688e-12
25,25,0,4.54751e-13
26,26,0,-2.27375e-13
27,27,0,-2.95587e-12
28,28,0,-3.86538e-12
29,29,0,-5.457e-12
30,30,0,-5.00225e-12
31,31,0,-3.86538e-12
32,32,0,-3.86538e-12
33,33,0,-2.27375e-12
34,34,0,-2.50112e-12
35,35,0,-2.04638e-12
36,36,0,-2.04638e-12
37,37,0,-1.819e-12
38,38,0,-1.36425e-12
39,39,0,-2.04638e-12
40,40,0,-2.04638e-12
41,41,0,0.0
42,42,0,9.09502e-13
43,43,0,1.13688e-12
44,44,0,3.63801e-12
45,45,0,9.54975e-12
46,46,0,1.52341e-11
47,47,0,1.93269e-11
48,48,0,4.25191e-11
49,49,0,1.39381e-10
50,49,-1,1.08685e-10
51,48,-1,1.05502e-10
52,47,-1,1.05957e-10
53,46,-1,8.09455e-11
54,45,-1,3.00135e-11
55,44,-1,1.61436e-11
56,43,-1,1.29604e-11
57,42,-1,7.50339e-12
58,41,-1,2.50112e-12
59,40,-1,2.27375e-13
60,39,-1,-4.54751e-13
61,38,-1,-1.13688e-12
62,37,-1,-1.819e-12
63,36,-1,-2.04638e-12
64,35,-1,-2.27375e-12
65,34,-1,-1.819e-12
66,33,-1,-2.04638e-12
67,32,-1,-2.95587e-12
68,31,-1,-2.95587e-12
69,30,-1,-3.86538e-12
