,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.82491e-09,1.829e-09,1.829e-09,1.82923e-09,1.82627e-09,1.82855e-09,1.82673e-09,1.83037e-09,1.82946e-09,1.81877e-09,1.82786e-09,1.83423e-09,1.83037e-09,1.82991e-09,1.82195e-09,1.824e-09,1.82718e-09,1.82491e-09,1.82695e-09,1.82536e-09,1.82605e-09,1.82514e-09,1.83014e-09,1.8174e-09,1.82582e-09,1.82218e-09,1.82104e-09,1.81468e-09,1.81854e-09,1.81604e-09
1,1.82582e-09,1.82855e-09,1.824e-09,1.83196e-09,1.83105e-09,1.83173e-09,1.82309e-09,1.82741e-09,1.82582e-09,1.82923e-09,1.83423e-09,1.8315e-09,1.82877e-09,1.83241e-09,1.82172e-09,1.82741e-09,1.82445e-09,1.82241e-09,1.82991e-09,1.82536e-09,1.82877e-09,1.82855e-09,1.8265e-09,1.82491e-09,1.83218e-09,1.82514e-09,1.82332e-09,1.82354e-09,1.81786e-09,1.82423e-09
2,1.81945e-09,1.83264e-09,1.81945e-09,1.83218e-09,1.82354e-09,1.83173e-09,1.82104e-09,1.83264e-09,1.82332e-09,1.83423e-09,1.82423e-09,1.83196e-09,1.81968e-09,1.829e-09,1.81968e-09,1.82855e-09,1.82172e-09,1.82855e-09,1.81672e-09,1.82627e-09,1.82354e-09,1.82536e-09,1.82195e-09,1.82855e-09,1.82286e-09,1.82855e-09,1.78807e-09,1.82423e-09,1.78625e-09,1.82445e-09
3,1.80399e-09,1.83014e-09,1.80899e-09,1.83173e-09,1.81286e-09,1.82627e-09,1.80467e-09,1.82627e-09,1.8049e-09,1.83309e-09,1.8124e-09,1.82741e-09,1.81195e-09,1.82377e-09,1.8099e-09,1.82582e-09,1.81399e-09,1.82377e-09,1.81104e-09,1.82491e-09,1.81263e-09,1.82809e-09,1.8265e-09,1.82468e-09,1.79921e-09,1.82877e-09,1.64005e-09,1.82354e-09,1.63164e-09,1.81718e-09
4,1.77466e-09,1.82741e-09,1.77989e-09,1.82741e-09,1.78535e-09,1.82491e-09,1.78648e-09,1.82764e-09,1.78876e-09,1.82559e-09,1.79444e-09,1.83287e-09,1.79057e-09,1.82491e-09,1.79353e-09,1.82786e-09,1.79489e-09,1.82286e-09,1.79353e-09,1.82309e-09,1.79126e-09,1.82741e-09,1.81104e-09,1.819e-09,1.69872e-09,1.82468e-09,1.29126e-09,1.82082e-09,1.27717e-09,1.82195e-09
5,1.71668e-09,1.82263e-09,1.71872e-09,1.81763e-09,1.74283e-09,1.8215e-09,1.74555e-09,1.81922e-09,1.74624e-09,1.81718e-09,1.7642e-09,1.82172e-09,1.75169e-09,1.82605e-09,1.75829e-09,1.82013e-09,1.76215e-09,1.82468e-09,1.76056e-09,1.81559e-09,1.76306e-09,1.82536e-09,1.78671e-09,1.82673e-09,1.59844e-09,1.79671e-09,9.81125e-10,1.75738e-09,9.77259e-10,1.7376e-09
6,1.54137e-09,1.80399e-09,1.54706e-09,1.80581e-09,1.61391e-09,1.80649e-09,1.62891e-09,1.8049e-09,1.62641e-09,1.80808e-09,1.67098e-09,1.80854e-09,1.63755e-09,1.80695e-09,1.65574e-09,1.81354e-09,1.68075e-09,1.80604e-09,1.66143e-09,1.81104e-09,1.67393e-09,1.82013e-09,1.71395e-09,1.81945e-09,1.40427e-09,1.68871e-09,6.55749e-10,1.57343e-09,6.678e-10,1.51272e-09
7,9.44745e-10,1.77398e-09,9.5725e-10,1.77989e-09,1.09026e-09,1.78739e-09,1.13005e-09,1.78489e-09,1.09754e-09,1.79558e-09,1.24397e-09,1.78921e-09,1.14597e-09,1.79285e-09,1.1894e-09,1.79421e-09,1.26239e-09,1.7883e-09,1.22009e-09,1.79376e-09,1.26284e-09,1.80308e-09,1.38767e-09,1.80558e-09,9.83171e-10,1.47475e-09,3.10822e-10,1.27148e-09,3.33559e-10,1.18599e-09
8,3.54477e-10,1.70804e-09,3.64482e-10,1.72668e-09,4.50656e-10,1.74737e-09,4.82263e-10,1.74874e-09,4.34968e-10,1.76079e-09,5.78897e-10,1.75078e-09,4.87493e-10,1.75692e-09,5.51612e-10,1.76124e-09,5.92994e-10,1.75579e-09,5.32513e-10,1.76602e-09,5.89129e-10,1.77125e-09,7.35785e-10,1.76488e-09,6.10729e-10,1.22692e-09,2.15779e-10,9.39288e-10,2.40108e-10,8.24688e-10
9,1.53933e-10,1.51613e-09,1.55979e-10,1.57571e-09,1.71668e-10,1.62391e-09,1.81218e-10,1.63346e-09,1.53251e-10,1.66097e-09,2.16688e-10,1.64506e-09,1.71441e-10,1.64392e-09,2.13277e-10,1.67257e-09,2.35106e-10,1.65301e-09,1.87129e-10,1.69417e-09,2.17597e-10,1.68962e-09,2.93314e-10,1.66279e-09,2.93314e-10,8.73573e-10,1.90085e-10,5.7867e-10,1.98953e-10,4.89084e-10
10,1.01864e-10,1.01182e-09,8.64024e-11,1.12482e-09,8.32192e-11,1.21555e-09,8.91309e-11,1.24511e-09,7.8217e-11,1.31264e-09,9.84532e-11,1.27444e-09,8.41287e-11,1.27444e-09,1.00272e-10,1.3331e-09,1.11414e-10,1.28308e-09,9.3451e-11,1.41336e-09,1.07548e-10,1.37926e-09,1.23465e-10,1.40472e-09,1.19145e-10,5.84127e-10,9.61795e-11,3.4902e-10,9.27689e-11,2.68303e-10
11,1.66893e-10,4.60661e-10,5.97997e-11,5.61617e-10,6.13912e-12,6.3142e-10,1.13688e-12,6.55294e-10,1.13688e-12,7.2669e-10,1.22782e-11,6.80988e-10,1.13688e-12,7.04635e-10,1.86448e-11,7.45334e-10,2.56933e-11,6.80306e-10,2.43291e-11,8.58112e-10,3.31968e-11,7.91264e-10,4.79761e-11,9.10635e-10,3.25147e-11,4.18824e-10,1.819e-11,2.33969e-10,1.819e-11,1.68257e-10
12,5.77305e-10,1.73032e-10,2.21235e-10,2.035e-10,2.81944e-11,2.24646e-10,9.095e-12,2.35106e-10,8.86763e-12,2.66938e-10,0.0,2.32149e-10,-1.25056e-11,2.60799e-10,-9.32238e-12,3.00135e-10,-5.457e-12,2.31467e-10,3.41062e-12,3.46974e-10,7.95813e-12,2.95815e-10,1.36425e-11,4.04954e-10,7.04861e-12,2.95815e-10,4.09275e-12,2.06229e-10,3.41062e-12,1.65302e-10
13,1.13165e-09,1.02319e-10,6.49838e-10,1.05957e-10,9.29963e-11,1.08458e-10,7.41243e-11,1.11414e-10,6.48019e-11,1.20736e-10,2.09185e-11,1.0482e-10,-9.54975e-12,1.18008e-10,-7.04861e-12,1.34151e-10,-8.41288e-12,1.10504e-10,-9.09502e-13,1.48476e-10,4.77487e-12,1.29604e-10,5.457e-12,1.63937e-10,1.819e-12,1.32105e-10,0.0,1.18235e-10,0.0,1.05957e-10
14,1.4311e-09,7.16232e-11,1.04706e-09,3.04683e-11,2.65347e-10,2.3647e-11,2.21008e-10,2.81944e-11,2.16915e-10,3.93359e-11,7.88991e-11,2.5466e-11,-8.18551e-12,4.29738e-11,-1.25056e-11,5.27509e-11,-9.54975e-12,4.41107e-11,-2.27375e-13,6.79852e-11,6.13912e-12,6.04818e-11,4.32013e-12,7.73075e-11,-6.82124e-13,3.86537e-11,4.54751e-13,3.16052e-11,0.0,2.88766e-11
