,X,Y,Z(intensidade)
0,0,0,-1.65984e-11
1,1,0,-1.6371e-11
2,2,0,-1.6371e-11
3,3,0,-2.09185e-11
4,4,0,-2.97862e-11
5,5,0,-2.1828e-11
6,6,0,-9.54975e-12
7,7,0,-7.50339e-12
8,8,0,-1.70531e-11
9,9,0,-1.04592e-11
10,10,0,-1.6371e-11
11,11,0,-2.38743e-11
12,12,0,-2.29649e-11
13,13,0,-1.29604e-11
14,14,0,-2.0009e-11
15,15,0,-2.0009e-11
16,16,0,-8.41288e-12
17,17,0,-6.36649e-12
18,18,0,-1.11414e-11
19,19,0,-2.20554e-11
20,20,0,-2.52386e-11
21,21,0,-2.93314e-11
22,22,0,-2.93314e-11
23,23,0,-3.25147e-11
24,24,0,-4.52476e-11
25,25,0,-4.91129e-11
26,26,0,-4.47928e-11
27,27,0,-4.43381e-11
28,28,0,-4.38833e-11
29,29,0,-4.16096e-11
30,30,0,-4.1837e-11
31,31,0,-3.93359e-11
32,32,0,-3.93359e-11
33,33,0,-3.79716e-11
34,34,0,-3.66074e-11
35,35,0,-3.38789e-11
36,36,0,-2.63755e-11
37,37,0,-2.27375e-11
38,38,0,-2.22827e-11
39,39,0,-1.75079e-11
40,40,0,-4.32013e-12
41,41,0,1.93269e-11
42,42,0,6.20735e-11
43,43,0,1.76215e-10
44,44,0,5.69802e-10
45,45,0,1.29285e-09
46,46,0,1.64915e-09
47,47,0,1.7401e-09
48,48,0,1.82491e-09
49,49,0,1.84264e-09
50,49,-1,1.84423e-09
51,48,-1,1.84264e-09
52,47,-1,1.84196e-09
53,46,-1,1.84173e-09
54,45,-1,1.83287e-09
55,44,-1,1.76011e-09
56,43,-1,1.68371e-09
57,42,-1,1.41223e-09
58,41,-1,8.64478e-10
59,40,-1,2.90131e-10
60,39,-1,1.04592e-10
61,38,-1,3.66074e-11
62,37,-1,4.77487e-12
63,36,-1,-1.36425e-11
64,35,-1,-2.0009e-11
65,34,-1,-2.38743e-11
66,33,-1,-2.70576e-11
67,32,-1,-3.31968e-11
68,31,-1,-3.638e-11
69,30,-1,-3.70621e-11
70,29,-1,-3.97906e-11
71,28,-1,-4.04727e-11
72,27,-1,-4.09275e-11
73,26,-1,-4.13822e-11
74,25,-1,-4.27465e-11
75,24,-1,-4.38833e-11
76,23,-1,-4.45655e-11
77,22,-1,-4.75213e-11
78,21,-1,-4.66118e-11
79,20,-1,-3.4561e-11
80,19,-1,-2.95588e-11
81,18,-1,-2.88766e-11
82,17,-1,-2.59207e-11
83,16,-1,-2.31922e-11
84,15,-1,-1.31877e-11
85,14,-1,1.13688e-12
86,13,-1,-9.77712e-12
87,12,-1,9.09502e-13
88,11,-1,-2.31922e-11
89,10,-1,-3.31968e-11
90,9,-1,-9.32238e-12
91,8,-1,-2.25101e-11
92,7,-1,-3.11504e-11
93,6,-1,-1.72805e-11
94,5,-1,-2.70576e-11
95,4,-1,-2.31922e-11
96,3,-1,-5.00225e-12
97,2,-1,-3.93359e-11
98,1,-1,-5.18414e-11
99,0,-1,-3.20599e-11
100,0,-2,-5.91176e-11
101,1,-2,-1.03683e-10
102,2,-2,-1.05502e-10
103,3,-2,-1.06866e-10
104,4,-2,-1.20964e-10
105,5,-2,-7.52611e-11
106,6,-2,-2.56933e-11
107,7,-2,-6.48019e-11
108,8,-2,-2.63755e-11
109,9,-2,-2.20554e-11
110,10,-2,-5.77531e-11
111,11,-2,-3.79716e-11
112,12,-2,-3.18325e-12
113,13,-2,-4.97951e-11
114,14,-2,-5.57068e-11
115,15,-2,6.82124e-13
116,16,-2,-1.59163e-11
117,17,-2,-2.04638e-12
118,18,-2,-5.68437e-12
119,19,-2,-2.25101e-11
120,20,-2,-2.52386e-11
121,21,-2,-2.77397e-11
122,22,-2,-2.86492e-11
123,23,-2,-3.52431e-11
124,24,-2,-4.97951e-11
125,25,-2,-4.68392e-11
126,26,-2,-4.38833e-11
127,27,-2,-4.43381e-11
128,28,-2,-4.32012e-11
129,29,-2,-4.20644e-11
130,30,-2,-4.1837e-11
131,31,-2,-4.1837e-11
132,32,-2,-4.0018e-11
133,33,-2,-3.79716e-11
134,34,-2,-3.68348e-11
135,35,-2,-3.29694e-11
136,36,-2,-2.66028e-11
137,37,-2,-2.29649e-11
138,38,-2,-1.95542e-11
139,39,-2,-1.29604e-11
140,40,-2,3.63801e-12
141,41,-2,3.41063e-11
142,42,-2,9.95901e-11
143,43,-2,2.88312e-10
144,44,-2,7.7512e-10
145,45,-2,1.4552e-09
146,46,-2,1.69235e-09
147,47,-2,1.7742e-09
148,48,-2,1.83423e-09
149,49,-2,1.84037e-09
150,49,-3,1.84446e-09
151,48,-3,1.84401e-09
152,47,-3,1.8456e-09
153,46,-3,1.84537e-09
154,45,-3,1.83628e-09
155,44,-3,1.77466e-09
156,43,-3,1.69326e-09
157,42,-3,1.47498e-09
158,41,-3,9.54067e-10
159,40,-3,3.54932e-10
160,39,-3,1.28694e-10
161,38,-3,4.5475e-11
162,37,-3,9.77712e-12
163,36,-3,-1.0914e-11
164,35,-3,-1.75079e-11
165,34,-3,-2.11459e-11
166,33,-3,-2.81944e-11
167,32,-3,-3.41063e-11
168,31,-3,-3.68348e-11
169,30,-3,-3.93359e-11
170,29,-3,-4.07001e-11
171,28,-3,-4.16096e-11
172,27,-3,-4.16096e-11
173,26,-3,-4.25191e-11
174,25,-3,-4.29738e-11
175,24,-3,-4.32012e-11
176,23,-3,-4.32012e-11
177,22,-3,-4.63845e-11
178,21,-3,-4.68392e-11
179,20,-3,-3.50158e-11
180,19,-3,-2.91041e-11
181,18,-3,-2.75123e-11
182,17,-3,-2.50112e-11
183,16,-3,-2.04637e-11
184,15,-3,-9.54975e-12
185,14,-3,6.13912e-12
186,13,-3,-1.77353e-11
187,12,-3,-2.50112e-12
188,11,-3,-3.68348e-11
189,10,-3,-1.89858e-10
190,9,-3,-1.26193e-10
191,8,-3,-4.82034e-11
192,7,-3,-1.72123e-10
193,6,-3,-1.01409e-10
194,5,-3,-5.57068e-11
195,4,-3,-1.24829e-10
196,3,-3,-8.3674e-11
197,2,-3,-1.41882e-10
198,1,-3,-2.55342e-10
199,0,-3,-1.9918e-10
200,0,-4,-1.97589e-10
201,1,-4,-1.38017e-10
202,2,-4,-1.34833e-10
203,3,-4,-2.09185e-10
204,4,-4,-2.64892e-10
205,5,-4,-1.05047e-10
206,6,-4,-1.13233e-10
207,7,-4,-1.54842e-10
208,8,-4,-1.15052e-10
209,9,-4,-1.69849e-10
210,10,-4,-2.31695e-10
211,11,-4,-1.17553e-10
212,12,-4,-1.20054e-10
213,13,-4,-2.1305e-10
214,14,-4,-1.20964e-10
215,15,-4,6.82124e-12
216,16,-4,-2.16006e-11
217,17,-4,1.13688e-12
218,18,-4,1.36425e-12
219,19,-4,-1.6371e-11
220,20,-4,-2.3647e-11
221,21,-4,-2.56933e-11
222,22,-4,-2.68302e-11
223,23,-4,-3.38789e-11
224,24,-4,-4.68392e-11
225,25,-4,-4.41107e-11
226,26,-4,-4.16096e-11
227,27,-4,-4.20644e-11
228,28,-4,-4.13822e-11
229,29,-4,-4.11549e-11
230,30,-4,-4.07001e-11
231,31,-4,-4.04727e-11
232,32,-4,-3.88811e-11
233,33,-4,-3.8199e-11
234,34,-4,-3.61526e-11
235,35,-4,-3.36515e-11
236,36,-4,-2.84218e-11
237,37,-4,-2.04637e-11
238,38,-4,-1.6371e-11
239,39,-4,-1.13687e-11
240,40,-4,7.27601e-12
241,41,-4,4.0018e-11
242,42,-4,1.15961e-10
243,43,-4,3.28784e-10
244,44,-4,8.39695e-10
245,45,-4,1.48248e-09
246,46,-4,1.6969e-09
247,47,-4,1.77898e-09
248,48,-4,1.84287e-09
249,49,-4,1.85469e-09
250,49,-5,1.84833e-09
251,48,-5,1.84787e-09
252,47,-5,1.84378e-09
253,46,-5,1.84787e-09
254,45,-5,1.84287e-09
255,44,-5,1.79239e-09
256,43,-5,1.71759e-09
257,42,-5,1.53523e-09
258,41,-5,1.05343e-09
259,40,-5,4.29056e-10
260,39,-5,1.63483e-10
261,38,-5,5.61615e-11
262,37,-5,1.54615e-11
263,36,-5,-6.36649e-12
264,35,-5,-1.40972e-11
265,34,-5,-1.95542e-11
266,33,-5,-2.7285e-11
267,32,-5,-3.31968e-11
268,31,-5,-3.54705e-11
269,30,-5,-3.75169e-11
270,29,-5,-3.91085e-11
271,28,-5,-4.02454e-11
