,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-4.77487e-12,-1.29604e-11,-1.43246e-11,-2.68302e-11,-2.88766e-11,-3.00135e-11,-3.04683e-11,-3.18325e-11,-3.25147e-11,-3.34242e-11,-3.36515e-11,-3.50158e-11,-3.43336e-11,-3.34242e-11,-3.29694e-11,-3.22873e-11,-3.06957e-11,-2.95588e-11,-2.81944e-11,-2.63755e-11,-2.3647e-11,-2.16006e-11,-2.04637e-11,-2.09185e-11,-2.02364e-11,-1.84174e-11,-1.65984e-11,-1.4552e-11,-1.31877e-11,-6.82124e-12,-4.5475e-12,-6.57114e-11,-1.22328e-10,-2.34197e-10,-2.56934e-10,-1.97589e-10,-1.9918e-10,-5.91176e-11,-3.20599e-11,-1.65984e-11
1,6.59386e-12,1.15961e-11,-1.11414e-11,-1.90995e-11,-2.81944e-11,-2.95588e-11,-3.13778e-11,-3.22873e-11,-3.38789e-11,-3.43336e-11,-3.31968e-11,-3.52431e-11,-3.43336e-11,-3.41063e-11,-3.31968e-11,-3.36515e-11,-3.18325e-11,-3.13778e-11,-2.93314e-11,-2.88766e-11,-2.38743e-11,-2.41017e-11,-2.16006e-11,-2.09185e-11,-2.0009e-11,-2.0009e-11,-1.6371e-11,-1.68258e-11,-1.29604e-11,-1.25056e-11,-3.41062e-12,-1.29604e-11,-6.70757e-11,-2.02591e-10,-2.08503e-10,-1.38017e-10,-2.55342e-10,-1.03683e-10,-5.18414e-11,-1.6371e-11
2,-4.5475e-12,1.29604e-11,-1.43246e-11,-1.86448e-11,-2.84218e-11,-2.93314e-11,-3.11504e-11,-3.16052e-11,-3.41063e-11,-3.43336e-11,-3.43336e-11,-3.50158e-11,-3.38789e-11,-3.43336e-11,-3.29694e-11,-3.38789e-11,-3.02409e-11,-3.0923e-11,-2.77397e-11,-2.93314e-11,-2.31922e-11,-2.50112e-11,-2.06911e-11,-2.04637e-11,-1.88721e-11,-2.13732e-11,-1.50068e-11,-1.65984e-11,-1.20509e-11,-1.38698e-11,-6.59386e-12,-1.11414e-11,-5.18414e-11,-2.01227e-10,-8.50382e-11,-1.34833e-10,-1.41882e-10,-1.05502e-10,-3.93359e-11,-1.6371e-11
3,-7.04861e-12,4.77487e-12,-1.4552e-11,-1.95542e-11,-2.93314e-11,-2.95588e-11,-3.13778e-11,-3.18325e-11,-3.38789e-11,-3.4561e-11,-3.36515e-11,-3.4561e-11,-3.2742e-11,-3.34242e-11,-3.18325e-11,-3.2742e-11,-2.91041e-11,-3.11504e-11,-2.68302e-11,-2.93314e-11,-2.27375e-11,-2.31922e-11,-1.90995e-11,-2.06911e-11,-1.75079e-11,-1.97816e-11,-1.34151e-11,-1.56889e-11,-9.54975e-12,-1.20509e-11,-2.7285e-12,-2.34196e-11,-8.0036e-11,-2.04865e-10,-1.48021e-10,-2.09185e-10,-8.3674e-11,-1.06866e-10,-5.00225e-12,-2.09185e-11
4,-8.86763e-12,-4.54751e-13,-1.6371e-11,-2.06911e-11,-3.00135e-11,-3.02409e-11,-3.20599e-11,-3.25147e-11,-3.31968e-11,-3.25147e-11,-3.31968e-11,-3.38789e-11,-3.18325e-11,-3.31968e-11,-2.97862e-11,-3.25147e-11,-2.77397e-11,-2.97862e-11,-2.50112e-11,-2.81944e-11,-2.11459e-11,-2.27375e-11,-1.86448e-11,-1.95542e-11,-1.72805e-11,-1.97816e-11,-1.31877e-11,-1.38698e-11,-6.59386e-12,-1.0914e-11,2.50112e-12,-2.13732e-11,-5.75258e-11,-1.47339e-10,-1.77352e-10,-2.64892e-10,-1.24829e-10,-1.20964e-10,-2.31922e-11,-2.97862e-11
5,-7.50339e-12,-7.50339e-12,-1.61436e-11,-2.31922e-11,-2.95588e-11,-3.18325e-11,-3.11504e-11,-3.18325e-11,-3.29694e-11,-3.41063e-11,-3.25147e-11,-3.36515e-11,-3.04683e-11,-3.31968e-11,-2.91041e-11,-3.13778e-11,-2.79671e-11,-2.95588e-11,-2.41017e-11,-2.70576e-11,-2.0009e-11,-2.13732e-11,-1.79626e-11,-2.02364e-11,-1.61436e-11,-1.819e-11,-1.20509e-11,-1.36425e-11,-4.32013e-12,-1.00045e-11,-1.00045e-11,-2.31922e-11,-5.47973e-11,-9.86806e-11,-1.71213e-10,-1.05047e-10,-5.57068e-11,-7.52611e-11,-2.70576e-11,-2.1828e-11
6,-8.18551e-12,-1.02319e-11,-1.61436e-11,-2.59207e-11,-3.13778e-11,-3.13778e-11,-3.16052e-11,-3.36515e-11,-3.2742e-11,-3.36515e-11,-3.22873e-11,-3.20599e-11,-3.0923e-11,-3.18325e-11,-2.81944e-11,-3.16052e-11,-2.68302e-11,-2.81944e-11,-2.34196e-11,-2.56933e-11,-1.84174e-11,-2.0009e-11,-1.70531e-11,-1.88721e-11,-1.56889e-11,-1.70531e-11,-1.06866e-11,-1.20509e-11,-4.54751e-13,-6.36649e-12,-3.41063e-11,-3.50158e-11,-1.32105e-10,-1.88948e-10,-2.42382e-10,-1.13233e-10,-1.01409e-10,-2.56933e-11,-1.72805e-11,-9.54975e-12
7,-9.54975e-12,-9.54975e-12,-1.72805e-11,-2.56933e-11,-3.0923e-11,-3.02409e-11,-3.18325e-11,-3.25147e-11,-3.22873e-11,-3.31968e-11,-3.00135e-11,-3.25147e-11,-2.84218e-11,-3.11504e-11,-2.68302e-11,-2.93314e-11,-2.43291e-11,-2.63755e-11,-2.20554e-11,-2.45565e-11,-1.819e-11,-1.93269e-11,-1.56889e-11,-1.86448e-11,-1.29604e-11,-1.56889e-11,-1.11414e-11,-1.06866e-11,3.41062e-12,-1.36425e-12,-6.59388e-11,-1.47794e-11,-1.62346e-10,-1.64847e-10,-1.94405e-10,-1.54842e-10,-1.72123e-10,-6.48019e-11,-3.11504e-11,-7.50339e-12
8,-1.15961e-11,-9.54975e-12,-1.88721e-11,-2.52386e-11,-3.02409e-11,-3.11504e-11,-3.22873e-11,-3.20599e-11,-3.13778e-11,-3.20599e-11,-2.95588e-11,-3.18325e-11,-2.81944e-11,-3.00135e-11,-2.61481e-11,-2.86492e-11,-2.20554e-11,-2.63755e-11,-1.75079e-11,-2.34196e-11,-1.40972e-11,-1.86448e-11,-1.25056e-11,-1.70531e-11,-1.00045e-11,-1.56889e-11,-7.04861e-12,-9.32238e-12,4.32013e-12,1.819e-12,-9.45879e-11,-3.54705e-11,-1.92814e-10,-1.44383e-10,-1.03001e-10,-1.15052e-10,-4.82034e-11,-2.63755e-11,-2.25101e-11,-1.70531e-11
9,-1.04592e-11,-1.20509e-11,-1.77353e-11,-2.68302e-11,-3.13778e-11,-3.0923e-11,-3.25147e-11,-3.25147e-11,-3.00135e-11,-3.31968e-11,-2.7285e-11,-3.0923e-11,-2.56933e-11,-3.16052e-11,-2.27375e-11,-2.81944e-11,-2.06911e-11,-2.47838e-11,-1.56889e-11,-2.1828e-11,-1.0914e-11,-1.75079e-11,-9.77712e-12,-1.70531e-11,-7.50339e-12,-1.56889e-11,-5.00225e-12,-8.18551e-12,1.59162e-12,7.04861e-12,-8.09455e-11,-9.91354e-11,-2.13277e-10,-2.18507e-10,-1.97361e-10,-1.69849e-10,-1.26193e-10,-2.20554e-11,-9.32238e-12,-1.04592e-11
