,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-2.95588e-11,-3.88811e-11,-4.1837e-11,-3.72895e-11,-2.13732e-11,-1.84174e-11,-1.13687e-11,-7.73076e-12,0.0,-6.36649e-12,-8.64026e-12,-1.43246e-11,-1.13687e-11,-3.18325e-11,-3.16052e-11,-3.29694e-11,-3.31968e-11,-3.84264e-11,-4.22917e-11,-3.638e-11,-3.43336e-11,-3.22873e-11,-2.81944e-11,-2.22827e-11,-2.06911e-11,-1.88721e-11,-1.52341e-11,-8.18551e-12,-7.73076e-12,-5.00225e-12,-5.457e-12,-2.04638e-12,-1.13688e-12,9.09502e-13,2.04638e-12,4.09275e-12,4.77487e-12,4.5475e-12,4.09275e-12,4.32013e-12
1,-2.45565e-11,-3.36515e-11,-4.02454e-11,-4.04727e-11,-2.09185e-11,-3.36515e-11,2.27375e-12,-2.29649e-11,1.50068e-11,-1.75079e-11,3.41062e-12,-2.50112e-11,4.54751e-13,-1.25056e-11,-2.25101e-11,-3.04683e-11,-2.75123e-11,-2.88766e-11,-4.11549e-11,-3.0923e-11,-4.13822e-11,-2.95588e-11,-3.36515e-11,-2.97862e-11,-2.45565e-11,-1.90995e-11,-1.68258e-11,-1.31877e-11,-7.73076e-12,-6.59386e-12,-5.457e-12,-3.18325e-12,-1.36425e-12,-6.82124e-13,9.09502e-13,4.09275e-12,4.32013e-12,4.32013e-12,4.32013e-12,3.63801e-12
2,-2.70576e-11,-3.34242e-11,-4.1837e-11,-4.04727e-11,5.68436e-11,-3.38789e-11,1.48476e-10,-2.31922e-11,1.53023e-10,-1.88721e-11,7.70801e-11,-2.47838e-11,6.68483e-11,-1.02319e-11,7.27601e-12,-3.00135e-11,-2.95587e-12,-2.91041e-11,-2.91041e-11,-3.11504e-11,-3.68348e-11,-2.95588e-11,-2.75123e-11,-2.91041e-11,-2.27375e-11,-1.88721e-11,-1.50068e-11,-1.36425e-11,-7.27601e-12,-6.36649e-12,-5.22962e-12,-3.18325e-12,-6.82124e-13,4.54751e-13,2.50112e-12,3.86538e-12,5.22962e-12,3.41062e-12,4.32013e-12,4.32013e-12
3,-2.93314e-11,-3.56979e-11,-3.68348e-11,-4.13822e-11,1.88039e-10,-3.00135e-11,5.32285e-10,-1.97816e-11,5.93221e-10,-1.25056e-11,3.77215e-10,-2.11459e-11,3.30148e-10,-2.97862e-11,1.06866e-10,-3.43336e-11,6.98042e-11,-3.31968e-11,-1.29604e-11,-3.638e-11,-3.04683e-11,-3.04683e-11,-2.25101e-11,-2.59207e-11,-1.819e-11,-1.93269e-11,-1.20509e-11,-1.20509e-11,-6.13912e-12,-5.91174e-12,-4.5475e-12,-3.18325e-12,-6.82124e-13,-2.27375e-13,2.7285e-12,4.32013e-12,5.457e-12,3.86538e-12,5.22962e-12,3.63801e-12
4,-2.93314e-11,-3.4561e-11,-3.06957e-11,-4.11549e-11,2.56252e-10,-1.50068e-11,8.76529e-10,-1.36425e-12,1.16416e-09,2.95587e-12,9.69528e-10,-4.32013e-12,8.8426e-10,-2.06911e-11,4.46109e-10,-2.75123e-11,3.38789e-10,-3.50158e-11,1.88721e-11,-4.27465e-11,-2.43291e-11,-3.638e-11,-2.25101e-11,-2.79671e-11,-1.70531e-11,-1.95542e-11,-1.00045e-11,-1.13687e-11,-5.91174e-12,-6.82124e-12,-4.5475e-12,-2.7285e-12,2.27375e-13,0.0,4.32013e-12,4.32013e-12,5.457e-12,4.32013e-12,5.457e-12,4.32013e-12
5,-2.88766e-11,-3.8199e-11,-3.18325e-11,-2.88766e-11,1.81445e-10,1.35061e-10,8.71982e-10,1.56434e-10,1.3954e-09,1.1255e-10,1.33878e-09,6.98042e-11,1.26943e-09,2.29649e-11,8.71299e-10,3.41062e-12,7.48745e-10,-1.4552e-11,9.1632e-11,-3.41063e-11,-2.09185e-11,-3.00135e-11,-2.38743e-11,-2.50112e-11,-1.72805e-11,-1.88721e-11,-1.04592e-11,-8.86763e-12,-6.36649e-12,-5.91174e-12,-4.5475e-12,-1.59162e-12,-4.54751e-13,9.09502e-13,3.41062e-12,5.22962e-12,5.68437e-12,4.77487e-12,6.13912e-12,5.00225e-12
6,-2.95588e-11,-3.91085e-11,-3.18325e-11,-2.7285e-12,9.73164e-11,4.84764e-10,7.76939e-10,6.32102e-10,1.43542e-09,5.16597e-10,1.55638e-09,3.71758e-10,1.50045e-09,1.74169e-10,1.25147e-09,9.77711e-11,1.13619e-09,2.45565e-11,2.3647e-10,-2.50112e-11,-2.66028e-11,-2.75123e-11,-2.47838e-11,-2.0009e-11,-1.77353e-11,-1.50068e-11,-9.54975e-12,-6.82124e-12,-6.36649e-12,-5.22962e-12,-5.00225e-12,-2.04638e-12,-4.54751e-13,1.59162e-12,3.63801e-12,5.457e-12,6.13912e-12,4.77487e-12,6.36649e-12,4.5475e-12
7,-3.20599e-11,-3.68348e-11,-3.06957e-11,4.09275e-12,9.77712e-12,6.82807e-10,3.447e-10,1.06343e-09,1.13278e-09,1.01614e-09,1.67893e-09,8.71754e-10,1.56638e-09,5.34104e-10,1.43155e-09,3.8199e-10,1.34742e-09,1.60299e-10,3.70621e-10,-1.25056e-11,1.36425e-11,-2.95588e-11,-1.59163e-11,-1.86448e-11,-1.61436e-11,-1.50068e-11,-9.32238e-12,-6.36649e-12,-7.04861e-12,-4.77487e-12,-4.09275e-12,-2.50112e-12,0.0,4.54751e-13,4.5475e-12,5.68437e-12,5.00225e-12,5.68437e-12,6.13912e-12,5.457e-12
8,-3.13778e-11,-3.41063e-11,-2.97862e-11,-5.00225e-12,-7.73076e-12,7.01906e-10,8.29918e-11,1.23124e-09,6.82352e-10,1.37607e-09,1.63369e-09,1.29604e-09,1.48862e-09,9.668e-10,1.1537e-09,8.15366e-10,1.09527e-09,4.80444e-10,3.73349e-10,-2.50112e-12,4.13822e-11,-3.25147e-11,-9.32238e-12,-2.04637e-11,-1.29604e-11,-1.38698e-11,-8.64026e-12,-6.36649e-12,-6.13912e-12,-5.68437e-12,-3.86538e-12,-2.04638e-12,2.27375e-13,1.36425e-12,4.32013e-12,5.457e-12,4.32013e-12,5.457e-12,5.457e-12,5.22962e-12
9,-3.18325e-11,-3.36515e-11,-2.84218e-11,-1.25056e-11,-1.15961e-11,6.61434e-10,3.66074e-11,1.21577e-09,5.22963e-10,1.5275e-09,1.48021e-09,1.52887e-09,1.47384e-09,1.32105e-09,7.96494e-10,1.20554e-09,6.52339e-10,8.14229e-10,3.15142e-10,1.06866e-11,5.86629e-11,-3.68348e-11,-7.73076e-12,-2.11459e-11,-1.11414e-11,-1.34151e-11,-9.095e-12,-7.50339e-12,-6.82124e-12,-5.68437e-12,-4.5475e-12,-1.59162e-12,4.54751e-13,1.819e-12,4.32013e-12,5.00225e-12,5.457e-12,6.82124e-12,5.457e-12,6.36649e-12
