x0000,y0000
0.,0.000640873
1.,0.00112916
2.,0.00167847
3.,0.00128175
4.,0.00219728
5.,0.00366212
6.,0.00662234
7.,0.0104066
8.,0.0074158
9.,0.00772098
10.,0.0181276
11.,0.0246278
12.,0.0277711
13.,0.0256349
14.,0.0257264
15.,0.0347903
16.,0.0349734
17.,0.0480959
18.,0.043915
19.,0.0438235
20.,0.0531619
21.,0.0555422
22.,0.0673223
23.,0.0627141
24.,0.0625615
25.,0.0670781
26.,0.0765386
27.,0.0867925
28.,0.0803227
29.,0.0802007
30.,0.0802312
31.,0.0921025
32.,0.0988774
33.,0.0954289
34.,0.0955815
35.,0.095551
36.,0.104004
37.,0.105042
38.,0.101105
39.,0.101044
40.,0.101014
41.,0.103882
42.,0.102784
43.,0.102753
44.,0.102753
45.,0.102906
46.,0.103028
47.,0.103486
48.,0.103486
49.,0.103638
50.,0.103608
51.,0.103516
52.,0.103913
53.,0.103913
54.,0.103821
55.,0.10373
56.,0.103821
57.,0.104065
58.,0.103913
59.,0.103791
60.,0.103943
61.,0.103913
62.,0.105896
63.,0.103882
64.,0.103943
65.,0.104035
66.,0.103943
67.,0.106629
68.,0.103943
69.,0.103974
70.,0.104004
71.,0.104004
72.,0.107056
73.,0.104035
74.,0.103943
75.,0.104035
76.,0.103943
77.,0.107117
78.,0.103943
79.,0.103943
80.,0.103913
81.,0.103974
82.,0.104004
83.,0.103913
84.,0.104004
85.,0.103913
86.,0.103913
87.,0.103943
88.,0.103882
89.,0.103943
90.,0.103913
91.,0.103882
92.,0.103943
93.,0.103943
94.,0.103943
95.,0.103943
96.,0.103913
97.,0.103913
98.,0.103943
99.,0.103882
100.,0.103821
