,X,Y,Z(intensidade)
0,0,0,-2.56933e-11
1,1,0,-2.50112e-11
2,2,0,-2.45565e-11
3,3,0,-2.47838e-11
4,4,0,-1.38698e-11
5,5,0,-1.40972e-11
6,6,0,-2.34196e-11
7,7,0,-7.27601e-12
8,8,0,-2.50112e-12
9,9,0,-6.13912e-12
10,10,0,-5.00225e-12
11,11,0,-1.97816e-11
12,12,0,-2.43291e-11
13,13,0,-2.79671e-11
14,14,0,-2.93314e-11
15,15,0,-3.02409e-11
16,16,0,-4.50202e-11
17,17,0,-4.91129e-11
18,18,0,-4.43381e-11
19,19,0,-4.29738e-11
20,20,0,-4.27465e-11
21,21,0,-4.13822e-11
22,22,0,-4.16096e-11
23,23,0,-4.09275e-11
24,24,0,-3.93359e-11
25,25,0,-3.84264e-11
26,26,0,-3.61526e-11
27,27,0,-3.41063e-11
28,28,0,-2.77397e-11
29,29,0,-2.09185e-11
30,29,-1,-2.25101e-11
31,28,-1,-2.16006e-11
32,27,-1,-2.25101e-11
33,26,-1,-2.3647e-11
34,25,-1,-3.04683e-11
35,24,-1,-3.56979e-11
36,23,-1,-3.68348e-11
37,22,-1,-3.91085e-11
38,21,-1,-4.07001e-11
39,20,-1,-4.07001e-11
40,19,-1,-4.09275e-11
41,18,-1,-4.13822e-11
42,17,-1,-4.38833e-11
43,16,-1,-4.38833e-11
44,15,-1,-4.43381e-11
45,14,-1,-4.93403e-11
46,13,-1,-4.29738e-11
47,12,-1,-3.16052e-11
48,11,-1,-3.02409e-11
49,10,-1,-2.81944e-11
50,9,-1,-2.5466e-11
51,8,-1,-2.22827e-11
52,7,-1,-6.36649e-12
53,6,-1,-2.04638e-12
54,5,-1,-9.095e-12
55,4,-1,-1.13688e-12
56,3,-1,-2.7285e-11
57,2,-1,-2.43291e-11
58,1,-1,-1.819e-11
59,0,-1,-1.819e-11
60,0,-2,-1.819e-11
61,1,-2,-1.65984e-11
62,2,-2,-1.6371e-11
63,3,-2,-1.68258e-11
64,4,-2,-2.70576e-11
65,5,-2,-1.68258e-11
66,6,-2,2.27375e-13
67,7,-2,-7.50339e-12
68,8,-2,-4.54751e-13
69,9,-2,-1.29604e-11
70,10,-2,-2.31922e-11
71,11,-2,-2.68302e-11
72,12,-2,-2.81944e-11
73,13,-2,-2.84218e-11
74,14,-2,-4.02454e-11
75,15,-2,-4.97951e-11
76,16,-2,-4.61571e-11
77,17,-2,-4.43381e-11
78,18,-2,-4.38833e-11
79,19,-2,-4.1837e-11
80,20,-2,-4.22917e-11
81,21,-2,-4.09275e-11
82,22,-2,-4.07001e-11
83,23,-2,-3.88811e-11
84,24,-2,-3.77443e-11
85,25,-2,-3.56979e-11
86,26,-2,-3.11504e-11
87,27,-2,-2.27375e-11
88,28,-2,-2.06911e-11
89,29,-2,-1.75079e-11
90,29,-3,-1.75079e-11
91,28,-3,-1.70531e-11
92,27,-3,-1.72805e-11
93,26,-3,-1.79626e-11
94,25,-3,-2.13732e-11
95,24,-3,-2.3647e-11
96,23,-3,-3.0923e-11
97,22,-3,-3.59253e-11
98,21,-3,-3.75169e-11
99,20,-3,-3.91085e-11
100,19,-3,-4.11549e-11
101,18,-3,-4.1837e-11
102,17,-3,-4.07001e-11
103,16,-3,-4.25191e-11
104,15,-3,-4.38833e-11
105,14,-3,-4.34286e-11
106,13,-3,-4.57023e-11
107,12,-3,-4.95677e-11
108,11,-3,-3.91085e-11
109,10,-3,-2.95588e-11
110,9,-3,-2.86492e-11
111,8,-3,-2.75123e-11
112,7,-3,-2.47838e-11
113,6,-3,-1.95542e-11
114,5,-3,-3.41062e-12
115,4,-3,-2.50112e-12
116,3,-3,-5.91174e-12
117,2,-3,-5.91174e-12
118,1,-3,-3.4561e-11
119,0,-3,-2.45565e-11
120,0,-4,-4.61571e-11
121,1,-4,-4.84308e-11
122,2,-4,-4.93403e-11
123,3,-4,-5.00224e-11
124,4,-4,-5.61615e-11
125,5,-4,-1.38698e-11
126,6,-4,-6.59386e-12
127,7,-4,-1.13687e-11
128,8,-4,1.13688e-12
129,9,-4,-1.4552e-11
130,10,-4,-2.25101e-11
131,11,-4,-2.70576e-11
132,12,-4,-2.88766e-11
133,13,-4,-2.97862e-11
134,14,-4,-4.32012e-11
135,15,-4,-4.93403e-11
136,16,-4,-4.43381e-11
137,17,-4,-4.25191e-11
138,18,-4,-4.34286e-11
139,19,-4,-4.16096e-11
140,20,-4,-4.20644e-11
141,21,-4,-4.20644e-11
142,22,-4,-4.11549e-11
143,23,-4,-3.91085e-11
144,24,-4,-3.68348e-11
145,25,-4,-3.47884e-11
146,26,-4,-3.0923e-11
147,27,-4,-2.27375e-11
148,28,-4,-2.06911e-11
149,29,-4,-1.68258e-11
150,29,-5,-1.59163e-11
151,28,-5,-1.59163e-11
152,27,-5,-1.56889e-11
153,26,-5,-1.75079e-11
154,25,-5,-2.04637e-11
155,24,-5,-2.56933e-11
156,23,-5,-3.13778e-11
157,22,-5,-3.61526e-11
158,21,-5,-3.75169e-11
159,20,-5,-3.91085e-11
160,19,-5,-4.13822e-11
161,18,-5,-4.07001e-11
162,17,-5,-4.07001e-11
163,16,-5,-4.13822e-11
164,15,-5,-4.3656e-11
165,14,-5,-4.25191e-11
166,13,-5,-4.38833e-11
167,12,-5,-4.82034e-11
168,11,-5,-3.93359e-11
169,10,-5,-2.97862e-11
170,9,-5,-2.77397e-11
171,8,-5,-2.5466e-11
172,7,-5,-2.27375e-11
173,6,-5,-1.56889e-11
174,5,-5,3.18325e-12
175,4,-5,-4.09275e-12
176,3,-5,-2.38743e-11
177,2,-5,-4.5475e-12
178,1,-5,-1.43246e-10
179,0,-5,-1.77125e-10
180,0,-6,-2.06001e-10
181,1,-6,-2.13277e-10
182,2,-6,-2.11913e-10
183,3,-6,-2.11686e-10
184,4,-6,-1.95315e-10
185,5,-6,-3.31968e-11
186,6,-6,-5.00225e-12
187,7,-6,-1.90995e-11
188,8,-6,7.95813e-12
189,9,-6,-5.00225e-12
190,10,-6,-2.0009e-11
191,11,-6,-2.5466e-11
192,12,-6,-2.56933e-11
193,13,-6,-2.7285e-11
194,14,-6,-3.95632e-11
195,15,-6,-4.66118e-11
196,16,-6,-4.20644e-11
197,17,-6,-4.07001e-11
198,18,-6,-4.13822e-11
199,19,-6,-4.02454e-11
200,20,-6,-4.04727e-11
201,21,-6,-4.04727e-11
202,22,-6,-4.0018e-11
203,23,-6,-3.86537e-11
204,24,-6,-3.72895e-11
205,25,-6,-3.47884e-11
206,26,-6,-3.18325e-11
207,27,-6,-2.50112e-11
208,28,-6,-1.84174e-11
209,29,-6,-1.54615e-11
210,29,-7,-1.36425e-11
211,28,-7,-1.2733e-11
212,27,-7,-1.38698e-11
213,26,-7,-1.54615e-11
214,25,-7,-1.819e-11
215,24,-7,-2.70576e-11
216,23,-7,-3.20599e-11
217,22,-7,-3.4561e-11
218,21,-7,-3.66074e-11
219,20,-7,-3.93359e-11
220,19,-7,-3.91085e-11
221,18,-7,-3.84264e-11
222,17,-7,-3.88811e-11
223,16,-7,-3.77443e-11
224,15,-7,-4.16096e-11
225,14,-7,-4.04727e-11
226,13,-7,-4.02454e-11
227,12,-7,-4.38833e-11
228,11,-7,-3.68348e-11
229,10,-7,-2.70576e-11
230,9,-7,-2.50112e-11
231,8,-7,-2.38743e-11
232,7,-7,-2.0009e-11
233,6,-7,-1.02319e-11
234,5,-7,5.22962e-12
235,4,-7,7.27601e-12
236,3,-7,-1.70531e-11
237,2,-7,2.50112e-12
238,1,-7,-1.35516e-10
239,0,-7,-2.29194e-10
240,0,-8,-2.21918e-10
241,1,-8,-2.19416e-10
242,2,-8,-2.19416e-10
243,3,-8,-2.19871e-10
244,4,-8,-1.19372e-10
245,5,-8,-7.73076e-12
246,6,-8,-1.13687e-11
247,7,-8,-6.82124e-13
248,8,-8,-1.59162e-12
249,9,-8,-3.86538e-12
250,10,-8,-1.77353e-11
251,11,-8,-2.0009e-11
252,12,-8,-2.09185e-11
253,13,-8,-2.29649e-11
254,14,-8,-3.68348e-11
255,15,-8,-3.8199e-11
256,16,-8,-3.54705e-11
257,17,-8,-3.638e-11
258,18,-8,-3.52431e-11
259,19,-8,-3.43336e-11
260,20,-8,-3.52431e-11
261,21,-8,-3.56979e-11
262,22,-8,-3.638e-11
263,23,-8,-3.50158e-11
264,24,-8,-3.41063e-11
265,25,-8,-3.25147e-11
266,26,-8,-3.06957e-11
267,27,-8,-2.22827e-11
268,28,-8,-1.56889e-11
269,29,-8,-1.06866e-11
270,29,-9,-9.54975e-12
271,28,-9,-1.06866e-11
272,27,-9,-9.32238e-12
273,26,-9,-1.20509e-11
274,25,-9,-1.90995e-11
275,24,-9,-2.66028e-11
276,23,-9,-3.00135e-11
277,22,-9,-3.0923e-11
278,21,-9,-3.06957e-11
279,20,-9,-3.06957e-11
280,19,-9,-3.04683e-11
281,18,-9,-2.81944e-11
282,17,-9,-2.77397e-11
283,16,-9,-2.68302e-11
284,15,-9,-2.75123e-11
285,14,-9,-2.50112e-11
286,13,-9,-2.56933e-11
287,12,-9,-2.97862e-11
288,11,-9,-2.25101e-11
289,10,-9,-1.40972e-11
290,9,-9,-1.29604e-11
291,8,-9,-1.15961e-11
292,7,-9,-9.54975e-12
293,6,-9,-5.00225e-12
294,5,-9,-9.54975e-12
295,4,-9,-1.61436e-11
296,3,-9,-1.00045e-11
297,2,-9,-7.41243e-11
298,1,-9,-1.46202e-10
299,0,-9,-2.035e-10
300,0,-10,-1.9145e-10
301,1,-10,-1.85993e-10
302,2,-10,-1.86902e-10
303,3,-10,-1.8622e-10
304,4,-10,-1.56889e-10
305,5,-10,-8.68572e-11
306,6,-10,-1.13687e-11
307,7,-10,-7.50339e-12
308,8,-10,-1.29604e-11
309,9,-10,-3.86538e-12
310,10,-10,-1.00045e-11
311,11,-10,-1.20509e-11
312,12,-10,-1.20509e-11
313,13,-10,-1.31877e-11
314,14,-10,-2.5466e-11
315,15,-10,-2.84218e-11
316,16,-10,-2.43291e-11
317,17,-10,-2.52386e-11
318,18,-10,-2.56933e-11
319,19,-10,-2.68302e-11
320,20,-10,-2.68302e-11
321,21,-10,-2.88766e-11
322,22,-10,-3.0923e-11
323,23,-10,-2.95588e-11
324,24,-10,-3.06957e-11
325,25,-10,-3.25147e-11
326,26,-10,-3.04683e-11
327,27,-10,-2.45565e-11
328,28,-10,-1.65984e-11
329,29,-10,-8.86763e-12
330,29,-11,-9.095e-12
331,28,-11,-8.86763e-12
332,27,-11,-8.86763e-12
333,26,-11,-1.11414e-11
334,25,-11,-1.90995e-11
335,24,-11,-2.50112e-11
336,23,-11,-2.93314e-11
337,22,-11,-2.93314e-11
338,21,-11,-2.70576e-11
339,20,-11,-2.7285e-11
340,19,-11,-2.79671e-11
341,18,-11,-2.70576e-11
342,17,-11,-2.59207e-11
343,16,-11,-2.43291e-11
344,15,-11,-2.34196e-11
345,14,-11,-2.04637e-11
346,13,-11,-2.0009e-11
347,12,-11,-2.38743e-11
348,11,-11,-2.04637e-11
349,10,-11,-1.02319e-11
350,9,-11,-9.095e-12
351,8,-11,-9.32238e-12
352,7,-11,-8.18551e-12
353,6,-11,-7.04861e-12
354,5,-11,-5.68437e-12
355,4,-11,-4.77487e-12
356,3,-11,-5.00225e-12
357,2,-11,-1.75079e-11
358,1,-11,-5.95723e-11
359,0,-11,-9.00404e-11
360,0,-12,-3.86538e-12
361,1,-12,5.22962e-12
362,2,-12,4.77487e-12
363,3,-12,4.5475e-12
364,4,-12,1.36425e-12
365,5,-12,-3.18325e-12
366,6,-12,-7.04861e-12
367,7,-12,-7.95813e-12
368,8,-12,-7.50339e-12
369,9,-12,-1.00045e-11
370,10,-12,-8.64026e-12
371,11,-12,-1.00045e-11
372,12,-12,-1.13687e-11
373,13,-12,-1.15961e-11
374,14,-12,-2.02364e-11
375,15,-12,-2.43291e-11
376,16,-12,-2.25101e-11
377,17,-12,-2.31922e-11
378,18,-12,-2.56933e-11
379,19,-12,-2.81944e-11
380,20,-12,-2.84218e-11
381,21,-12,-2.68302e-11
382,22,-12,-2.20554e-11
383,23,-12,-1.90995e-11
384,24,-12,-2.06911e-11
385,25,-12,-2.70576e-11
386,26,-12,-2.84218e-11
387,27,-12,-2.38743e-11
388,28,-12,-1.77353e-11
389,29,-12,-9.54975e-12
390,29,-13,-7.50339e-12
391,28,-13,-7.95813e-12
392,27,-13,-8.18551e-12
393,26,-13,-1.15961e-11
394,25,-13,-1.819e-11
395,24,-13,-2.34196e-11
396,23,-13,-2.7285e-11
397,22,-13,-2.38743e-11
398,21,-13,-1.52341e-11
399,20,-13,-1.40972e-11
400,19,-13,-2.13732e-11
401,18,-13,-2.79671e-11
402,17,-13,-2.93314e-11
403,16,-13,-2.93314e-11
404,15,-13,-2.63755e-11
405,14,-13,-2.47838e-11
406,13,-13,-2.45565e-11
407,12,-13,-2.45565e-11
408,11,-13,-2.06911e-11
409,10,-13,-1.56889e-11
410,9,-13,-1.31877e-11
411,8,-13,-1.34151e-11
412,7,-13,-1.06866e-11
413,6,-13,-1.22782e-11
414,5,-13,-1.34151e-11
415,4,-13,-1.34151e-11
416,3,-13,-1.06866e-11
417,2,-13,-8.18551e-12
418,1,-13,-3.18325e-12
419,0,-13,6.82124e-13
420,0,-14,-2.04638e-12
421,1,-14,-2.7285e-12
422,2,-14,-2.50112e-12
423,3,-14,-2.95587e-12
424,4,-14,-3.86538e-12
425,5,-14,-8.18551e-12
426,6,-14,-1.11414e-11
427,7,-14,-1.47794e-11
428,8,-14,-1.819e-11
429,9,-14,-1.75079e-11
430,10,-14,-1.34151e-11
431,11,-14,-1.38698e-11
432,12,-14,-1.31877e-11
433,13,-14,-1.43246e-11
434,14,-14,-1.90995e-11
435,15,-14,-2.38743e-11
436,16,-14,-2.34196e-11
437,17,-14,-2.20554e-11
438,18,-14,-2.50112e-11
439,19,-14,-2.7285e-11
440,20,-14,-2.79671e-11
441,21,-14,-2.52386e-11
442,22,-14,-1.56889e-11
443,23,-14,-1.00045e-11
444,24,-14,-1.31877e-11
445,25,-14,-2.5466e-11
446,26,-14,-2.81944e-11
