,0
0,0.152192
1,0.152223
2,0.152108
3,0.15194
4,0.151902
5,0.14705
6,0.135514
7,0.0895772
8,0.0240709
9,0.00583652
10,0.00296022
11,0.00228883
12,0.00244142
13,0.00770572
14,0.0284349
15,0.052048
16,0.0955358
17,0.133805
18,0.145867
19,0.148194
20,0.145875
21,0.133721
22,0.100518
23,0.0447085
24,0.0193788
25,0.0422671
26,0.0661473
27,0.118584
28,0.141915
29,0.149758
30,0.151261
31,0.150224
32,0.135987
33,0.0828099
34,0.0258027
35,0.00605014
36,0.00395969
37,0.017418
38,0.0550845
39,0.0902028
40,0.131188
