,X,Y,Z(intensidade)
0,0,0,0.152192
1,1,0,0.152223
2,2,0,0.152108
3,3,0,0.15194
4,4,0,0.151902
5,5,0,0.14705
6,6,0,0.135514
7,7,0,0.0895772
8,8,0,0.0240709
9,9,0,0.00583652
10,10,0,0.00296022
11,11,0,0.00228883
12,12,0,0.00244142
13,13,0,0.00770572
14,14,0,0.0284349
15,15,0,0.052048
16,16,0,0.0955358
17,17,0,0.133805
18,18,0,0.145867
19,19,0,0.148194
20,20,0,0.145875
21,21,0,0.133721
22,22,0,0.100518
23,23,0,0.0447085
24,24,0,0.0193788
25,25,0,0.0422671
26,26,0,0.0661473
27,27,0,0.118584
28,28,0,0.141915
29,29,0,0.149758
30,30,0,0.151261
31,31,0,0.150224
32,32,0,0.135987
33,33,0,0.0828099
34,34,0,0.0258027
35,35,0,0.00605014
36,36,0,0.00395969
37,37,0,0.017418
38,38,0,0.0550845
39,39,0,0.0902028
40,40,0,0.131188
