,X,Y,Z(intensidade)
0,0,0,1.81604e-09
1,1,0,1.82423e-09
2,2,0,1.82445e-09
3,3,0,1.81718e-09
4,4,0,1.82195e-09
5,5,0,1.7376e-09
6,6,0,1.51272e-09
7,7,0,1.18599e-09
8,8,0,8.24688e-10
9,9,0,4.89084e-10
10,10,0,2.68303e-10
11,11,0,1.68257e-10
12,12,0,1.65302e-10
13,13,0,1.05957e-10
14,14,0,2.88766e-11
15,15,0,7.73076e-12
16,16,0,0.0
17,17,0,0.0
18,18,0,6.82124e-13
19,19,0,6.82124e-13
20,20,0,2.27375e-13
21,21,0,1.13688e-12
22,22,0,1.59162e-12
23,23,0,3.18325e-12
24,24,0,2.7285e-12
25,25,0,3.63801e-12
26,26,0,3.86538e-12
27,27,0,3.63801e-12
28,28,0,3.63801e-12
29,29,0,3.63801e-12
30,30,0,4.77487e-12
31,31,0,5.22962e-12
32,32,0,6.13912e-12
33,33,0,6.82124e-12
34,34,0,7.27601e-12
35,35,0,5.91174e-12
36,36,0,4.32013e-12
37,37,0,2.95587e-12
38,38,0,2.7285e-12
39,39,0,2.27375e-12
40,40,0,4.54751e-13
41,41,0,-6.82124e-13
42,42,0,-3.86538e-12
43,43,0,-4.77487e-12
44,44,0,-5.457e-12
45,45,0,-4.5475e-12
46,46,0,-2.7285e-12
47,47,0,-9.09502e-13
48,48,0,-1.13688e-12
49,49,0,-1.36425e-12
50,49,-1,-2.27375e-13
51,48,-1,-9.09502e-13
52,47,-1,-6.82124e-13
53,46,-1,-6.82124e-13
54,45,-1,-6.82124e-13
55,44,-1,-2.04638e-12
56,43,-1,-2.50112e-12
57,42,-1,-3.63801e-12
58,41,-1,-4.5475e-12
59,40,-1,-4.09275e-12
60,39,-1,-1.36425e-12
61,38,-1,-2.27375e-13
62,37,-1,1.819e-12
63,36,-1,3.18325e-12
64,35,-1,4.09275e-12
65,34,-1,4.77487e-12
66,33,-1,5.68437e-12
67,32,-1,6.36649e-12
68,31,-1,7.73076e-12
69,30,-1,7.27601e-12
70,29,-1,6.36649e-12
71,28,-1,5.00225e-12
72,27,-1,4.77487e-12
73,26,-1,5.00225e-12
74,25,-1,3.63801e-12
75,24,-1,3.63801e-12
76,23,-1,3.63801e-12
77,22,-1,3.63801e-12
78,21,-1,2.50112e-12
79,20,-1,3.41062e-12
80,19,-1,2.95587e-12
81,18,-1,1.13688e-12
82,17,-1,6.82124e-13
83,16,-1,4.54751e-13
84,15,-1,1.13688e-12
85,14,-1,0.0
86,13,-1,0.0
87,12,-1,3.41062e-12
88,11,-1,1.819e-11
89,10,-1,9.27689e-11
90,9,-1,1.98953e-10
91,8,-1,2.40108e-10
92,7,-1,3.33559e-10
93,6,-1,6.678e-10
94,5,-1,9.77259e-10
95,4,-1,1.27717e-09
96,3,-1,1.63164e-09
97,2,-1,1.78625e-09
98,1,-1,1.81786e-09
99,0,-1,1.81854e-09
100,0,-2,1.81468e-09
101,1,-2,1.82354e-09
102,2,-2,1.82423e-09
103,3,-2,1.82354e-09
104,4,-2,1.82082e-09
105,5,-2,1.75738e-09
106,6,-2,1.57343e-09
107,7,-2,1.27148e-09
108,8,-2,9.39288e-10
109,9,-2,5.7867e-10
110,10,-2,3.4902e-10
111,11,-2,2.33969e-10
112,12,-2,2.06229e-10
113,13,-2,1.18235e-10
114,14,-2,3.16052e-11
115,15,-2,7.27601e-12
116,16,-2,4.54751e-13
117,17,-2,0.0
118,18,-2,2.27375e-13
119,19,-2,0.0
120,20,-2,0.0
121,21,-2,1.13688e-12
122,22,-2,1.59162e-12
123,23,-2,3.18325e-12
124,24,-2,3.86538e-12
125,25,-2,4.32013e-12
126,26,-2,3.18325e-12
127,27,-2,4.5475e-12
128,28,-2,4.09275e-12
129,29,-2,4.77487e-12
130,30,-2,4.77487e-12
131,31,-2,5.457e-12
132,32,-2,6.82124e-12
133,33,-2,6.13912e-12
134,34,-2,7.95813e-12
135,35,-2,6.36649e-12
136,36,-2,4.32013e-12
137,37,-2,4.09275e-12
138,38,-2,2.95587e-12
139,39,-2,2.50112e-12
140,40,-2,1.36425e-12
141,41,-2,0.0
142,42,-2,-2.27375e-12
143,43,-2,-3.18325e-12
144,44,-2,-4.77487e-12
145,45,-2,-3.86538e-12
146,46,-2,-3.18325e-12
147,47,-2,-1.36425e-12
148,48,-2,-1.13688e-12
149,49,-2,-1.819e-12
150,49,-3,-9.09502e-13
151,48,-3,-1.36425e-12
152,47,-3,-6.82124e-13
153,46,-3,-2.27375e-13
154,45,-3,-6.82124e-13
155,44,-3,-2.04638e-12
