,0
0,0.152596
1,0.152566
2,0.152596
3,0.152612
4,0.152665
5,0.152658
6,0.152627
7,0.152627
8,0.152444
9,0.149735
10,0.145616
11,0.139947
12,0.130883
13,0.114777
14,0.0695577
15,0.0341952
16,0.0168458
17,0.00804144
18,0.0040665
19,0.00318147
20,0.00264741
21,0.00232698
22,0.00221254
23,0.00277711
24,0.00587466
25,0.012352
26,0.02343
27,0.0359576
28,0.0489428
29,0.0605242
30,0.0747991
31,0.102097
32,0.132386
33,0.143312
34,0.148751
35,0.152268
36,0.153298
37,0.153253
38,0.153146
39,0.152223
40,0.147416
41,0.140183
42,0.129807
43,0.104836
44,0.0799642
45,0.0739217
46,0.0712438
47,0.0677419
48,0.0640111
49,0.0652089
50,0.06955
51,0.082871
52,0.100953
53,0.13215
54,0.141137
55,0.147775
56,0.151155
57,0.15278
58,0.152986
59,0.152886
60,0.152848
61,0.151429
62,0.148225
63,0.140443
64,0.127648
65,0.090363
66,0.0513766
67,0.0306932
68,0.0153275
69,0.00744632
70,0.00427249
71,0.00373842
72,0.0049744
73,0.00941473
74,0.0235826
75,0.0460513
76,0.0641637
77,0.0849156
78,0.106446
79,0.126229
80,0.136865
